DATE,WND_direction,WND_dQC,WND_type,WND_speed,WND_speedQC
2013-01-08 20:01:00,80,5,N,51,5
2013-01-08 22:41:00,90,5,N,41,5
2013-01-08 22:54:00,80,5,N,51,5
2013-01-09 01:38:00,100,5,N,57,5
2013-01-09 03:12:00,70,5,N,77,5
2013-01-09 04:03:00,80,5,N,62,5
2013-01-09 04:32:00,70,5,N,72,5
2013-01-09 05:04:00,80,5,N,46,5
2013-01-09 05:12:00,80,5,N,46,5
2013-01-09 10:54:00,80,5,N,21,5
2013-01-09 11:24:00,90,5,N,21,5
2013-01-09 11:54:00,70,5,N,41,5
2013-01-09 13:05:00,80,5,N,26,5
2013-01-09 19:54:00,70,5,N,26,5
2013-01-09 22:38:00,80,5,N,82,5
2013-01-09 22:47:00,80,5,N,57,5
2013-01-09 22:54:00,80,5,N,41,5
2013-01-09 22:58:00,80,5,N,41,5
2013-01-09 23:54:00,90,5,N,57,5
2013-01-10 00:01:00,80,5,N,36,5
2013-01-10 00:15:00,90,5,N,46,5
2013-01-10 00:22:00,90,5,N,46,5
2013-01-10 00:44:00,90,5,N,88,5
2013-01-10 00:54:00,90,5,N,67,5
2013-01-10 01:54:00,100,5,N,62,5
2013-01-10 02:09:00,110,5,N,67,5
2013-01-10 02:52:00,90,5,N,62,5
2013-01-10 02:54:00,90,5,N,72,5
2013-01-10 03:07:00,100,5,N,88,5
2013-01-10 03:52:00,110,5,N,57,5
2013-01-10 03:54:00,110,5,N,51,5
2013-01-10 05:54:00,90,5,N,57,5
2013-01-10 08:03:00,80,5,N,57,5
2013-01-10 08:26:00,80,5,N,62,5
2013-01-10 10:50:00,90,5,N,46,5
2013-01-10 10:54:00,90,5,N,46,5
2013-01-10 11:19:00,90,5,N,51,5
2013-01-10 11:54:00,90,5,N,62,5
2013-01-10 12:05:00,100,5,N,67,5
2013-01-10 12:54:00,90,5,N,46,5
2013-01-11 15:54:00,80,5,N,41,5
2013-01-11 18:54:00,70,5,N,51,5
2013-01-11 22:54:00,70,5,N,46,5
2013-01-11 23:54:00,60,5,N,77,5
2013-01-12 00:54:00,80,5,N,67,5
2013-01-12 01:54:00,60,5,N,103,5
2013-01-12 02:54:00,60,5,N,82,5
2013-01-12 04:54:00,80,5,N,103,5
2013-01-12 05:07:00,80,5,N,82,5
2013-01-12 06:54:00,80,5,N,72,5
2013-01-12 07:54:00,80,5,N,67,5
2013-01-12 08:11:00,70,5,N,62,5
2013-01-12 08:26:00,70,5,N,72,5
2013-01-12 11:54:00,70,5,N,51,5
2013-01-12 12:54:00,70,5,N,67,5
2013-01-12 13:17:00,80,5,N,36,5
2013-01-12 13:30:00,70,5,N,67,5
2013-01-12 14:54:00,80,5,N,77,5
2013-01-12 15:54:00,80,5,N,72,5
2013-01-12 18:54:00,60,5,N,67,5
2013-01-13 01:54:00,50,5,N,88,5
2013-01-13 02:54:00,50,5,N,98,5
2013-01-13 03:23:00,60,5,N,93,5
2013-01-13 03:48:00,50,5,N,88,5
2013-01-13 03:54:00,60,5,N,77,5
2013-01-13 04:54:00,60,5,N,98,5
2013-01-13 08:37:00,70,5,N,62,5
2013-01-13 13:54:00,70,5,N,36,5
2013-01-13 14:54:00,80,5,N,46,5
2013-01-13 17:54:00,80,5,N,46,5
2013-01-13 18:54:00,70,5,N,62,5
2013-01-14 03:31:00,110,5,N,67,5
2013-01-16 04:54:00,50,5,N,67,5
2013-01-16 05:54:00,60,5,N,62,5
2013-01-16 06:54:00,70,5,N,46,5
2013-01-16 12:28:00,50,5,N,15,5
2013-01-16 12:38:00,70,5,N,41,5
2013-01-16 12:54:00,50,5,N,41,5
2013-01-16 13:05:00,50,5,N,31,5
2013-01-17 01:54:00,90,5,N,72,5
2013-01-17 15:54:00,70,5,N,31,5
2013-01-17 22:45:00,80,5,N,51,5
2013-01-17 22:54:00,100,5,N,36,5
2013-01-17 23:25:00,60,5,N,62,5
2013-01-17 23:54:00,90,5,N,51,5
2013-01-18 15:54:00,30,5,N,26,5
2013-01-18 18:54:00,50,5,N,57,5
2013-01-19 02:54:00,40,5,N,93,5
2013-01-19 03:54:00,40,5,N,88,5
2013-01-19 04:54:00,40,5,N,93,5
2013-01-19 05:41:00,30,5,N,82,5
2013-01-19 05:54:00,20,5,N,77,5
2013-01-19 06:54:00,50,5,N,72,5
2013-01-19 08:33:00,60,5,N,77,5
2013-01-19 08:44:00,60,5,N,57,5
2013-01-19 08:50:00,50,5,N,51,5
2013-01-19 08:54:00,50,5,N,41,5
2013-01-19 14:54:00,50,5,N,51,5
2013-01-19 15:01:00,70,5,N,46,5
2013-01-19 19:54:00,30,5,N,41,5
2013-01-19 20:54:00,20,5,N,41,5
2013-01-19 21:54:00,30,5,N,62,5
2013-01-19 22:54:00,20,5,N,62,5
2013-01-19 23:04:00,30,5,N,57,5
2013-01-19 23:15:00,30,5,N,57,5
2013-01-19 23:26:00,20,5,N,57,5
2013-01-19 23:54:00,20,5,N,77,5
2013-01-20 00:16:00,30,5,N,88,5
2013-01-20 00:43:00,30,5,N,62,5
2013-01-20 00:54:00,30,5,N,72,5
2013-01-20 01:06:00,30,5,N,72,5
2013-01-20 01:09:00,30,5,N,72,5
2013-01-20 01:54:00,20,5,N,82,5
2013-01-20 02:10:00,30,5,N,77,5
2013-01-20 02:34:00,20,5,N,93,5
2013-01-20 02:54:00,30,5,N,98,5
2013-01-20 03:41:00,30,5,N,98,5
2013-01-20 03:54:00,20,5,N,98,5
2013-01-20 04:17:00,30,5,N,88,5
2013-01-20 04:54:00,40,5,N,98,5
2013-01-20 05:09:00,40,5,N,118,5
2013-01-20 05:19:00,50,5,N,134,5
2013-01-20 05:33:00,40,5,N,98,5
2013-01-20 05:54:00,40,5,N,82,5
2013-01-20 07:10:00,50,5,N,67,5
2013-01-20 07:31:00,50,5,N,82,5
2013-01-20 07:54:00,50,5,N,77,5
2013-01-20 08:01:00,50,5,N,103,5
2013-01-20 08:54:00,50,5,N,62,5
2013-01-20 09:03:00,50,5,N,93,5
2013-01-20 09:49:00,50,5,N,118,5
2013-01-20 09:54:00,50,5,N,93,5
2013-01-20 10:30:00,50,5,N,88,5
2013-01-20 11:05:00,50,5,N,93,5
2013-01-20 11:12:00,50,5,N,98,5
2013-01-20 11:54:00,50,5,N,77,5
2013-01-20 12:19:00,40,5,N,72,5
2013-01-20 13:02:00,50,5,N,77,5
2013-01-20 13:44:00,50,5,N,93,5
2013-01-20 13:51:00,50,5,N,93,5
2013-01-20 13:54:00,50,5,N,93,5
2013-01-20 13:58:00,50,5,N,77,5
2013-01-20 14:54:00,50,5,N,77,5
2013-01-20 15:16:00,40,5,N,82,5
2013-01-20 15:54:00,50,5,N,88,5
2013-01-20 16:54:00,60,5,N,82,5
2013-01-20 17:01:00,60,5,N,88,5
2013-01-20 17:20:00,40,5,N,77,5
2013-01-20 17:54:00,50,5,N,82,5
2013-01-20 18:02:00,50,5,N,139,5
2013-01-20 18:09:00,60,5,N,93,5
2013-01-20 18:13:00,50,5,N,88,5
2013-01-20 18:25:00,50,5,N,88,5
2013-01-20 18:34:00,60,5,N,77,5
2013-01-20 18:40:00,40,5,N,77,5
2013-01-20 18:54:00,50,5,N,77,5
2013-01-20 19:54:00,50,5,N,88,5
2013-01-20 20:21:00,40,5,N,93,5
2013-01-20 20:30:00,40,5,N,88,5
2013-01-20 20:54:00,40,5,N,98,5
2013-01-20 21:54:00,40,5,N,98,5
2013-01-20 22:34:00,40,5,N,82,5
2013-01-20 22:54:00,40,5,N,72,5
2013-01-20 23:00:00,30,5,N,93,5
2013-01-20 23:02:00,40,5,N,98,5
2013-01-20 23:18:00,40,5,N,93,5
2013-01-20 23:54:00,40,5,N,103,5
2013-01-21 00:33:00,40,5,N,108,5
2013-01-21 00:54:00,30,5,N,98,5
2013-01-21 01:29:00,40,5,N,103,5
2013-01-21 01:37:00,40,5,N,98,5
2013-01-21 01:54:00,40,5,N,103,5
2013-01-21 02:54:00,40,5,N,103,5
2013-01-21 03:01:00,40,5,N,93,5
2013-01-21 03:54:00,40,5,N,72,5
2013-01-21 04:32:00,40,5,N,93,5
2013-01-21 04:54:00,40,5,N,98,5
2013-01-21 05:39:00,30,5,N,103,5
2013-01-21 05:54:00,40,5,N,113,5
2013-01-21 06:01:00,40,5,N,98,5
2013-01-21 06:54:00,40,5,N,98,5
2013-01-21 07:54:00,40,5,N,82,5
2013-01-21 08:54:00,40,5,N,67,5
2013-01-21 09:54:00,40,5,N,88,5
2013-01-21 10:54:00,40,5,N,103,5
2013-01-21 11:54:00,40,5,N,72,5
2013-01-21 12:13:00,50,5,N,82,5
2013-01-21 12:21:00,40,5,N,57,5
2013-01-21 12:54:00,40,5,N,82,5
2013-01-21 13:54:00,50,5,N,103,5
2013-01-21 14:54:00,40,5,N,57,5
2013-01-21 15:54:00,40,5,N,62,5
2013-01-21 16:54:00,50,5,N,88,5
2013-01-21 17:54:00,50,5,N,51,5
2013-01-21 18:54:00,50,5,N,67,5
2013-01-21 21:54:00,60,5,N,93,5
2013-01-21 23:35:00,50,5,N,77,5
2013-01-21 23:54:00,60,5,N,82,5
2013-01-22 00:01:00,50,5,N,77,5
2013-01-22 00:44:00,40,5,N,103,5
2013-01-22 00:54:00,50,5,N,93,5
2013-01-22 01:06:00,50,5,N,82,5
2013-01-22 01:54:00,50,5,N,113,5
2013-01-22 02:40:00,50,5,N,93,5
2013-01-22 03:01:00,50,5,N,98,5
2013-01-22 03:29:00,60,5,N,98,5
2013-01-22 03:54:00,60,5,N,88,5
2013-01-22 04:39:00,60,5,N,118,5
2013-01-22 09:54:00,70,5,N,72,5
2013-01-22 10:54:00,60,5,N,67,5
2013-01-22 11:54:00,60,5,N,51,5
2013-01-22 12:54:00,60,5,N,67,5
2013-01-22 13:54:00,70,5,N,57,5
2013-01-22 15:54:00,70,5,N,51,5
2013-01-22 20:54:00,60,5,N,41,5
2013-01-24 15:54:00,40,5,N,26,5
2013-01-24 21:54:00,60,5,N,31,5
2013-01-24 22:54:00,30,5,N,31,5
2013-01-24 23:54:00,40,5,N,51,5
2013-01-25 00:54:00,40,5,N,51,5
2013-01-25 01:54:00,40,5,N,51,5
2013-01-25 02:54:00,40,5,N,57,5
2013-01-25 03:54:00,20,5,N,57,5
2013-01-25 04:33:00,350,5,N,46,5
2013-01-25 04:43:00,30,5,N,57,5
2013-01-25 04:54:00,40,5,N,51,5
2013-01-25 05:54:00,40,5,N,77,5
2013-01-25 06:54:00,10,5,N,51,5
2013-01-25 11:54:00,40,5,N,62,5
2013-01-25 12:54:00,50,5,N,41,5
2013-01-25 13:54:00,50,5,N,46,5
2013-01-25 14:54:00,40,5,N,41,5
2013-01-25 15:54:00,30,5,N,36,5
2013-01-26 00:54:00,30,5,N,77,5
2013-01-26 01:54:00,50,5,N,88,5
2013-01-26 15:54:00,60,5,N,31,5
2013-01-26 18:54:00,60,5,N,26,5
2013-01-26 20:54:00,50,5,N,41,5
2013-01-27 00:54:00,40,5,N,82,5
2013-01-27 01:54:00,40,5,N,82,5
2013-01-27 02:54:00,60,5,N,72,5
2013-01-28 00:54:00,90,5,N,62,5
2013-01-28 01:54:00,80,5,N,72,5
2013-01-28 02:54:00,90,5,N,67,5
2013-01-28 04:54:00,80,5,N,62,5
2013-01-28 06:54:00,80,5,N,62,5
2013-01-28 13:54:00,70,5,N,26,5
2013-01-29 00:54:00,60,5,N,67,5
2013-01-29 01:54:00,60,5,N,98,5
2013-01-29 08:54:00,80,5,N,51,5
2013-01-29 09:54:00,80,5,N,51,5
2013-01-30 08:54:00,80,5,N,31,5
2013-01-30 12:54:00,70,5,N,46,5
2013-01-30 13:54:00,70,5,N,46,5
2013-01-30 14:54:00,70,5,N,67,5
2013-01-30 15:54:00,70,5,N,51,5
2013-01-30 16:19:00,70,5,N,67,5
2013-01-30 16:43:00,80,5,N,51,5
2013-01-30 16:54:00,70,5,N,57,5
2013-01-30 17:54:00,70,5,N,51,5
2013-01-30 18:54:00,60,5,N,67,5
2013-01-30 19:54:00,60,5,N,93,5
2013-01-30 20:02:00,60,5,N,77,5
2013-01-30 21:54:00,60,5,N,77,5
2013-01-30 22:54:00,70,5,N,77,5
2013-01-30 23:15:00,70,5,N,82,5
2013-01-30 23:32:00,40,5,N,62,5
2013-01-31 00:42:00,40,5,N,98,5
2013-01-31 00:54:00,60,5,N,103,5
2013-01-31 01:27:00,50,5,N,113,5
2013-01-31 01:54:00,50,5,N,113,5
2013-01-31 02:47:00,50,5,N,113,5
2013-01-31 02:54:00,50,5,N,88,5
2013-01-31 03:30:00,50,5,N,88,5
2013-01-31 03:45:00,40,5,N,88,5
2013-01-31 03:54:00,40,5,N,108,5
2013-01-31 03:57:00,50,5,N,103,5
2013-01-31 04:08:00,50,5,N,108,5
2013-01-31 04:54:00,50,5,N,118,5
2013-01-31 05:08:00,40,5,N,113,5
2013-01-31 05:54:00,40,5,N,93,5
2013-01-31 06:23:00,30,5,N,82,5
2013-01-31 06:34:00,30,5,N,93,5
2013-01-31 06:54:00,40,5,N,82,5
2013-01-31 07:54:00,30,5,N,72,5
2013-01-31 08:29:00,30,5,N,88,5
2013-01-31 08:37:00,40,5,N,72,5
2013-01-31 08:51:00,30,5,N,62,5
2013-01-31 08:54:00,30,5,N,72,5
2013-01-31 09:19:00,20,5,N,57,5
2013-01-31 09:54:00,20,5,N,72,5
2013-01-31 10:41:00,30,5,N,67,5
2013-01-31 10:54:00,30,5,N,82,5
2013-01-31 11:54:00,20,5,N,46,5
2013-01-31 12:03:00,40,5,N,77,5
2013-01-31 12:16:00,20,5,N,51,5
2013-01-31 12:54:00,30,5,N,62,5
2013-01-31 13:54:00,30,5,N,51,5
2013-01-31 15:54:00,20,1,N,93,1
2013-02-01 03:54:00,30,5,N,103,5
2013-02-01 05:54:00,40,5,N,103,5
2013-02-01 06:54:00,40,5,N,93,5
2013-02-01 19:54:00,70,5,N,88,5
2013-02-01 20:54:00,60,5,N,82,5
2013-02-02 03:54:00,60,5,N,93,5
2013-02-02 04:54:00,60,5,N,103,5
2013-02-02 05:54:00,50,5,N,88,5
2013-02-02 06:54:00,60,5,N,82,5
2013-02-02 07:54:00,50,5,N,93,5
2013-02-02 08:54:00,60,5,N,82,5
2013-02-02 09:54:00,60,5,N,72,5
2013-02-02 12:54:00,70,5,N,62,5
2013-02-02 13:54:00,70,5,N,62,5
2013-02-02 14:54:00,50,5,N,57,5
2013-02-02 15:54:00,50,5,N,57,5
2013-02-02 18:54:00,60,5,N,41,5
2013-02-02 19:54:00,50,5,N,46,5
2013-02-02 20:54:00,60,5,N,41,5
2013-02-02 21:54:00,60,5,N,41,5
2013-02-02 22:54:00,70,5,N,77,5
2013-02-02 23:54:00,60,5,N,57,5
2013-02-03 00:54:00,80,5,N,88,5
2013-02-03 01:17:00,80,5,N,98,5
2013-02-03 01:30:00,70,5,N,98,5
2013-02-03 01:54:00,70,5,N,98,5
2013-02-03 02:54:00,80,5,N,77,5
2013-02-03 03:54:00,70,5,N,93,5
2013-02-03 04:54:00,80,5,N,88,5
2013-02-04 00:54:00,70,5,N,88,5
2013-02-04 01:17:00,90,5,N,93,5
2013-02-04 02:54:00,80,5,N,77,5
2013-02-04 04:54:00,70,5,N,77,5
2013-02-04 06:27:00,70,5,N,62,5
2013-02-04 12:54:00,70,5,N,51,5
2013-02-04 13:54:00,80,5,N,46,5
2013-02-04 17:54:00,60,5,N,51,5
2013-02-04 18:54:00,80,5,N,46,5
2013-02-04 20:54:00,70,5,N,57,5
2013-02-05 03:54:00,70,5,N,88,5
2013-02-05 07:05:00,70,5,N,62,5
2013-02-05 12:54:00,60,5,N,51,5
2013-02-05 17:54:00,80,5,N,31,5
2013-02-06 01:54:00,100,5,N,57,5
2013-02-06 02:54:00,90,5,N,57,5
2013-02-06 23:54:00,60,5,N,67,5
2013-02-07 00:54:00,70,5,N,77,5
2013-02-07 01:54:00,60,5,N,88,5
2013-02-07 02:40:00,70,5,N,82,5
2013-02-07 02:50:00,80,5,N,98,5
2013-02-07 02:54:00,70,5,N,93,5
2013-02-07 03:33:00,100,5,N,72,5
2013-02-07 04:28:00,110,5,N,51,5
2013-02-07 04:35:00,120,5,N,46,5
2013-02-07 04:54:00,90,5,N,82,5
2013-02-07 05:07:00,80,5,N,62,5
2013-02-07 06:54:00,100,5,N,72,5
2013-02-07 07:23:00,100,5,N,51,5
2013-02-07 07:37:00,100,5,N,62,5
2013-02-07 07:45:00,100,5,N,57,5
2013-02-07 07:54:00,90,5,N,67,5
2013-02-07 08:43:00,140,5,N,31,5
2013-02-07 08:54:00,130,5,N,26,5
2013-02-07 09:16:00,100,5,N,21,5
2013-02-07 09:54:00,90,5,N,36,5
2013-02-07 10:54:00,100,5,N,57,5
2013-02-07 11:54:00,100,5,N,41,5
2013-02-07 16:38:00,90,5,N,46,5
2013-02-07 16:54:00,100,5,N,46,5
2013-02-07 18:16:00,90,5,N,31,5
2013-02-08 00:15:00,100,5,N,51,5
2013-02-08 00:54:00,80,5,N,72,5
2013-02-08 01:54:00,80,5,N,62,5
2013-02-08 05:49:00,90,5,N,62,5
2013-02-08 05:54:00,100,5,N,57,5
2013-02-08 06:06:00,90,5,N,57,5
2013-02-08 18:54:00,80,5,N,26,5
2013-02-08 20:35:00,150,5,N,15,5
2013-02-08 20:43:00,120,5,N,21,5
2013-02-08 21:42:00,70,5,N,31,5
2013-02-08 21:50:00,70,5,N,31,5
2013-02-08 21:54:00,80,5,N,36,5
2013-02-09 03:14:00,110,5,N,57,5
2013-02-09 03:35:00,100,5,N,62,5
2013-02-09 05:16:00,100,5,N,62,5
2013-02-09 05:43:00,80,5,N,51,5
2013-02-09 05:54:00,80,5,N,67,5
2013-02-09 15:54:00,50,5,N,36,5
2013-02-10 12:54:00,50,5,N,67,5
2013-02-10 13:54:00,70,5,N,31,5
2013-02-10 15:54:00,70,5,N,46,5
2013-02-10 23:54:00,60,5,N,62,5
2013-02-11 00:54:00,50,5,N,98,5
2013-02-11 01:54:00,70,5,N,77,5
2013-02-11 02:54:00,70,5,N,93,5
2013-02-11 03:54:00,60,5,N,72,5
2013-02-11 04:54:00,60,5,N,88,5
2013-02-11 05:14:00,60,5,N,93,5
2013-02-11 05:47:00,60,5,N,88,5
2013-02-11 05:54:00,50,5,N,93,5
2013-02-11 06:27:00,90,5,N,93,5
2013-02-11 06:40:00,80,5,N,67,5
2013-02-11 06:54:00,80,5,N,51,5
2013-02-11 12:54:00,70,5,N,57,5
2013-02-11 14:54:00,60,5,N,57,5
2013-02-11 15:54:00,60,5,N,51,5
2013-02-11 16:54:00,60,5,N,51,5
2013-02-11 19:54:00,50,5,N,62,5
2013-02-11 20:14:00,40,5,N,62,5
2013-02-11 20:54:00,40,5,N,88,5
2013-02-11 21:15:00,50,5,N,77,5
2013-02-11 21:39:00,70,5,N,67,5
2013-02-11 22:54:00,80,5,N,57,5
2013-02-11 23:54:00,80,5,N,72,5
2013-02-12 00:54:00,90,5,N,82,5
2013-02-12 02:01:00,100,5,N,72,5
2013-02-12 02:41:00,90,5,N,67,5
2013-02-12 02:54:00,90,5,N,82,5
2013-02-12 04:45:00,90,5,N,77,5
2013-02-12 04:54:00,90,5,N,88,5
2013-02-12 06:11:00,80,5,N,62,5
2013-02-12 06:43:00,80,5,N,57,5
2013-02-12 07:54:00,70,5,N,62,5
2013-02-12 09:14:00,70,5,N,62,5
2013-02-12 16:54:00,70,5,N,77,5
2013-02-12 17:54:00,70,5,N,77,5
2013-02-12 18:54:00,80,5,N,77,5
2013-02-12 20:54:00,80,5,N,67,5
2013-02-12 23:54:00,90,5,N,82,5
2013-02-13 01:43:00,110,5,N,51,5
2013-02-13 01:52:00,100,5,N,57,5
2013-02-13 01:54:00,110,5,N,46,5
2013-02-13 03:54:00,70,5,N,72,5
2013-02-13 04:06:00,80,5,N,77,5
2013-02-13 04:21:00,70,5,N,77,5
2013-02-13 04:35:00,70,5,N,57,5
2013-02-13 04:46:00,70,5,N,82,5
2013-02-13 04:54:00,100,5,N,57,5
2013-02-13 05:04:00,90,5,N,51,5
2013-02-13 07:54:00,70,5,N,72,5
2013-02-13 08:11:00,80,5,N,51,5
2013-02-13 08:28:00,90,5,N,36,5
2013-02-13 08:54:00,70,5,N,57,5
2013-02-13 09:54:00,70,5,N,67,5
2013-02-13 11:54:00,70,5,N,77,5
2013-02-13 12:45:00,90,5,N,51,5
2013-02-13 12:54:00,60,5,N,67,5
2013-02-13 13:54:00,90,5,N,51,5
2013-02-14 04:37:00,60,5,N,82,5
2013-02-14 04:54:00,50,5,N,103,5
2013-02-14 05:09:00,60,5,N,88,5
2013-02-14 12:54:00,60,5,N,62,5
2013-02-14 20:54:00,90,5,N,46,5
2013-02-14 21:54:00,80,5,N,93,5
2013-02-14 22:14:00,80,5,N,57,5
2013-02-14 22:54:00,80,5,N,41,5
2013-02-15 01:18:00,70,5,N,88,5
2013-02-15 03:45:00,80,5,N,93,5
2013-02-15 03:54:00,70,5,N,103,5
2013-02-15 05:54:00,80,5,N,82,5
2013-02-15 17:54:00,60,5,N,51,5
2013-02-15 19:54:00,70,5,N,51,5
2013-02-15 20:54:00,60,5,N,36,5
2013-02-15 21:54:00,80,5,N,51,5
2013-02-15 22:26:00,60,5,N,72,5
2013-02-15 22:41:00,60,5,N,51,5
2013-02-15 22:54:00,80,5,N,36,5
2013-02-15 23:22:00,60,5,N,62,5
2013-02-15 23:44:00,70,5,N,62,5
