,DATE,CALL_SIGN,WND_direction,WND_dQC,WND_type,WND_speed,WND_speedQC,SKY_ceiling,SKY_ceilingQC,SKY_ceilingDC,SKY_CAVOK,VIS_distance,VIS_distanceQC,VIS_variability,VIS_variabilityQC,AIR_temp,AIR_tempQC,DEW_temp,DEW_tempQC,SLP_pressure,SLP_pressureQC
3,2019-01-01T00:54:00,PGUM ,060,5,N,0072,5,01676,5,M,N,016093,5,N,5,+0289,5,+0261,5,+0261,5
4,2019-01-01T01:54:00,PGUM ,040,5,N,0082,5,01006,5,M,N,012875,5,N,5,+0283,5,+0256,5,+0256,5
5,2019-01-01T02:54:00,PGUM ,030,5,N,0077,5,01219,5,M,N,006437,5,N,5,+0272,5,+0256,5,+0256,5
7,2019-01-01T03:15:00,PGUM ,020,5,N,0088,5,00792,5,M,N,016093,5,N,5,+0294,5,+0256,5,+0256,5
9,2019-01-01T03:36:00,PGUM ,030,5,N,0093,5,01433,5,M,N,016093,5,N,5,+0294,5,+0256,5,+0256,5
10,2019-01-01T03:52:00,PGUM ,020,5,N,0082,5,00640,5,M,N,016093,5,N,5,+0290,5,+0250,5,+0250,5
11,2019-01-01T03:54:00,PGUM ,030,5,N,0088,5,00579,5,M,N,016093,5,N,5,+0289,5,+0250,5,+0250,5
14,2019-01-01T04:52:00,PGUM ,040,5,N,0088,5,00792,5,M,N,016093,5,N,5,+0290,5,+0250,5,+0250,5
15,2019-01-01T04:54:00,PGUM ,030,5,N,0077,5,01067,5,M,N,016093,5,N,5,+0289,5,+0250,5,+0250,5
19,2019-01-01T05:19:00,PGUM ,020,5,N,0077,5,00975,5,M,N,016093,5,N,5,+0283,5,+0250,5,+0250,5
20,2019-01-01T05:54:00,PGUM ,030,5,N,0093,5,22000,5,9,N,016093,5,N,5,+0283,5,+0244,5,+0244,5
22,2019-01-01T06:54:00,PGUM ,030,5,N,0067,5,01524,5,M,N,016093,5,N,5,+0267,5,+0256,5,+0256,5
23,2019-01-01T07:54:00,PGUM ,030,5,N,0051,5,22000,5,C,N,012875,5,N,5,+0267,5,+0250,5,+0250,5
24,2019-01-01T08:54:00,PGUM ,030,5,N,0057,5,22000,5,C,N,016093,5,N,5,+0267,5,+0250,5,+0250,5
25,2019-01-01T09:54:00,PGUM ,040,5,N,0062,5,01250,5,M,N,016093,5,N,5,+0267,5,+0250,5,+0250,5
