,DATE,CALL_SIGN,WND_direction,WND_dQC,WND_type,WND_speed,WND_speedQC,SKY_ceiling,SKY_ceilingQC,SKY_ceilingDC,SKY_CAVOK,VIS_distance,VIS_distanceQC,VIS_variability,VIS_variabilityQC,AIR_temp,AIR_tempQC,DEW_temp,DEW_tempQC,SLP_pressure,SLP_pressureQC
1,2015-01-01T00:02:00,PGUM ,060,5,N,0067,5,00701,5,M,N,016093,5,N,5,+0290,5,+0230,5,+0230,5
2,2015-01-01T00:22:00,PGUM ,080,5,N,0067,5,00945,5,M,N,016093,5,N,5,+0290,5,+0240,5,+0240,5
3,2015-01-01T00:54:00,PGUM ,080,5,N,0062,5,01524,5,M,N,016093,5,N,5,+0300,5,+0222,5,+0222,5
4,2015-01-01T01:54:00,PGUM ,080,5,N,0067,5,01524,5,M,N,016093,5,N,5,+0311,5,+0233,5,+0233,5
5,2015-01-01T02:33:00,PGUM ,070,5,N,0062,5,00732,5,M,N,016093,5,N,5,+0310,5,+0230,5,+0230,5
6,2015-01-01T02:54:00,PGUM ,090,5,N,0057,5,00732,5,M,N,016093,5,N,5,+0306,5,+0228,5,+0228,5
7,2015-01-01T03:18:00,PGUM ,090,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0310,5,+0230,5,+0230,5
8,2015-01-01T03:54:00,PGUM ,070,5,N,0062,5,22000,5,9,N,016093,5,N,5,+0311,5,+0228,5,+0228,5
9,2015-01-01T04:54:00,PGUM ,060,5,N,0057,5,22000,5,9,N,016093,5,N,5,+0311,5,+0228,5,+0228,5
10,2015-01-01T05:54:00,PGUM ,080,5,N,0046,5,22000,5,C,N,016093,5,N,5,+0300,5,+0228,5,+0228,5
12,2015-01-01T06:54:00,PGUM ,060,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0294,5,+0233,5,+0233,5
13,2015-01-01T07:54:00,PGUM ,040,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0278,5,+0239,5,+0239,5
14,2015-01-01T08:54:00,PGUM ,050,5,N,0031,5,22000,5,9,N,016093,5,N,5,+0272,5,+0239,5,+0239,5
15,2015-01-01T09:54:00,PGUM ,050,5,N,0026,5,22000,5,9,N,016093,5,N,5,+0267,5,+0239,5,+0239,5
16,2015-01-01T10:54:00,PGUM ,060,5,N,0041,5,22000,5,9,N,016093,5,N,5,+0272,5,+0233,5,+0233,5
17,2015-01-01T11:54:00,PGUM ,050,5,N,0031,5,01189,5,M,N,016093,5,N,5,+0272,5,+0233,5,+0233,5
19,2015-01-01T12:54:00,PGUM ,030,5,N,0036,5,22000,5,9,N,016093,5,N,5,+0261,5,+0233,5,+0233,5
20,2015-01-01T13:54:00,PGUM ,030,5,N,0026,5,01829,5,M,N,016093,5,N,5,+0267,5,+0233,5,+0233,5
21,2015-01-01T13:59:00,PGUM ,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,+9999,9,+9999,9,+9999,9
22,2015-01-01T14:54:00,PGUM ,050,5,N,0046,5,01829,5,M,N,016093,5,N,5,+0272,5,+0239,5,+0239,5
23,2015-01-01T15:54:00,PGUM ,060,5,N,0046,5,02134,5,M,N,016093,5,N,5,+0272,5,+0233,5,+0233,5
24,2015-01-01T16:54:00,PGUM ,040,5,N,0026,5,02134,5,M,N,016093,5,N,5,+0267,5,+0228,5,+0228,5
25,2015-01-01T17:54:00,PGUM ,050,5,N,0072,5,01676,5,M,N,016093,5,N,5,+0267,5,+0222,5,+0222,5
27,2015-01-01T18:54:00,PGUM ,050,5,N,0046,5,01524,5,M,N,016093,5,N,5,+0256,5,+0222,5,+0222,5
28,2015-01-01T19:54:00,PGUM ,030,5,N,0057,5,22000,5,C,N,016093,5,N,5,+0256,5,+0233,5,+0233,5
29,2015-01-01T20:54:00,PGUM ,010,5,N,0041,5,02286,5,M,N,016093,5,N,5,+0250,5,+0228,5,+0228,5
30,2015-01-01T21:54:00,PGUM ,020,5,N,0041,5,22000,5,9,N,016093,5,N,5,+0272,5,+0239,5,+0239,5
31,2015-01-01T22:35:00,PGUM ,010,5,N,0036,5,00457,5,M,N,016093,5,N,5,+0280,5,+0240,5,+0240,5
32,2015-01-01T22:54:00,PGUM ,050,5,N,0077,5,00457,5,M,N,004023,5,N,5,+0261,5,+0239,5,+0239,5
33,2015-01-01T23:01:00,PGUM ,050,5,N,0062,5,01219,5,M,N,006437,5,N,5,+0260,5,+0240,5,+0240,5
34,2015-01-01T23:54:00,PGUM ,060,5,N,0088,5,22000,5,C,N,016093,5,N,5,+0283,5,+0256,5,+0256,5
