,DATE,CALL_SIGN,WND_direction,WND_dQC,WND_type,WND_speed,WND_speedQC,SKY_ceiling,SKY_ceilingQC,SKY_ceilingDC,SKY_CAVOK,VIS_distance,VIS_distanceQC,VIS_variability,VIS_variabilityQC,AIR_temp,AIR_tempQC,DEW_temp,DEW_tempQC,SLP_pressure,SLP_pressureQC
1,2022-01-01T00:54:00,PGUM ,070,5,N,0062,5,22000,5,C,N,016093,5,N,5,+0283,5,+0222,5,+0222,5
2,2022-01-01T01:54:00,PGUM ,070,5,N,0057,5,22000,5,C,N,016093,5,N,5,+0283,5,+0222,5,+0222,5
3,2022-01-01T02:54:00,PGUM ,080,5,N,0046,5,22000,5,C,N,016093,5,N,5,+0289,5,+0222,5,+0222,5
4,2022-01-01T03:54:00,PGUM ,070,5,N,0057,5,22000,5,C,N,016093,5,N,5,+0289,5,+0211,5,+0211,5
5,2022-01-01T04:54:00,PGUM ,040,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0294,5,+0194,5,+0194,5
6,2022-01-01T05:54:00,PGUM ,060,5,N,0062,5,22000,5,9,N,016093,5,N,5,+0289,5,+0211,5,+0211,5
8,2022-01-01T06:54:00,PGUM ,050,5,N,0062,5,22000,5,9,N,016093,5,N,5,+0278,5,+0217,5,+0217,5
9,2022-01-01T07:54:00,PGUM ,050,5,N,0036,5,22000,5,9,N,016093,5,N,5,+0267,5,+0217,5,+0217,5
10,2022-01-01T08:54:00,PGUM ,050,5,N,0026,5,22000,5,9,N,016093,5,N,5,+0256,5,+0217,5,+0217,5
11,2022-01-01T09:54:00,PGUM ,050,5,N,0031,5,22000,5,9,N,016093,5,N,5,+0256,5,+0217,5,+0217,5
12,2022-01-01T10:54:00,PGUM ,060,5,N,0021,5,22000,5,9,N,016093,5,N,5,+0250,5,+0217,5,+0217,5
13,2022-01-01T11:54:00,PGUM ,060,5,N,0026,5,22000,5,9,N,016093,5,N,5,+0244,5,+0211,5,+0211,5
15,2022-01-01T12:54:00,PGUM ,050,5,N,0031,5,22000,5,9,N,016093,5,N,5,+0239,5,+0211,5,+0211,5
16,2022-01-01T13:54:00,PGUM ,060,5,N,0031,5,22000,5,9,N,016093,5,N,5,+0239,5,+0211,5,+0211,5
17,2022-01-01T13:59:00,PGUM ,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,+9999,9,+9999,9,+9999,9
18,2022-01-01T14:54:00,PGUM ,070,5,N,0036,5,22000,5,9,N,016093,5,N,5,+0244,5,+0217,5,+0217,5
19,2022-01-01T15:54:00,PGUM ,070,5,N,0036,5,22000,5,9,N,016093,5,N,5,+0250,5,+0211,5,+0211,5
20,2022-01-01T16:54:00,PGUM ,060,5,N,0036,5,22000,5,9,N,016093,5,N,5,+0244,5,+0217,5,+0217,5
21,2022-01-01T17:54:00,PGUM ,060,5,N,0036,5,22000,5,9,N,016093,5,N,5,+0239,5,+0217,5,+0217,5
23,2022-01-01T18:54:00,PGUM ,060,5,N,0031,5,22000,5,9,N,016093,5,N,5,+0239,5,+0217,5,+0217,5
24,2022-01-01T19:54:00,PGUM ,060,5,N,0031,5,22000,5,9,N,016093,5,N,5,+0239,5,+0217,5,+0217,5
25,2022-01-01T20:54:00,PGUM ,060,5,N,0031,5,22000,5,9,N,016093,5,N,5,+0239,5,+0217,5,+0217,5
26,2022-01-01T21:54:00,PGUM ,070,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0261,5,+0222,5,+0222,5
27,2022-01-01T22:54:00,PGUM ,060,5,N,0057,5,22000,5,9,N,016093,5,N,5,+0272,5,+0228,5,+0228,5
28,2022-01-01T23:54:00,PGUM ,060,5,N,0062,5,22000,5,9,N,016093,5,N,5,+0278,5,+0222,5,+0222,5
30,2022-01-02T00:54:00,PGUM ,070,5,N,0062,5,22000,5,C,N,016093,5,N,5,+0289,5,+0222,5,+0222,5
31,2022-01-02T01:54:00,PGUM ,060,5,N,0067,5,22000,5,C,N,016093,5,N,5,+0289,5,+0211,5,+0211,5
32,2022-01-02T02:54:00,PGUM ,080,5,N,0067,5,22000,5,C,N,016093,5,N,5,+0300,5,+0206,5,+0206,5
33,2022-01-02T03:54:00,PGUM ,060,5,N,0051,5,22000,5,9,N,016093,5,N,5,+0300,5,+0206,5,+0206,5
34,2022-01-02T04:54:00,PGUM ,060,5,N,0062,5,22000,5,9,N,016093,5,N,5,+0300,5,+0217,5,+0217,5
35,2022-01-02T05:54:00,PGUM ,060,5,N,0067,5,22000,5,9,N,016093,5,N,5,+0294,5,+0200,5,+0200,5
37,2022-01-02T06:54:00,PGUM ,060,5,N,0067,5,02286,5,M,N,016093,5,N,5,+0283,5,+0217,5,+0217,5
38,2022-01-02T07:54:00,PGUM ,060,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0272,5,+0217,5,+0217,5
39,2022-01-02T08:54:00,PGUM ,050,5,N,0031,5,02438,5,M,N,016093,5,N,5,+0261,5,+0217,5,+0217,5
40,2022-01-02T09:54:00,PGUM ,040,5,N,0031,5,22000,5,9,N,016093,5,N,5,+0256,5,+0233,5,+0233,5
41,2022-01-02T10:54:00,PGUM ,040,5,N,0031,5,22000,5,9,N,016093,5,N,5,+0250,5,+0233,5,+0233,5
42,2022-01-02T11:54:00,PGUM ,030,5,N,0015,5,22000,5,9,N,016093,5,N,5,+0250,5,+0233,5,+0233,5
