,DATE,CALL_SIGN,WND_direction,WND_dQC,WND_type,WND_speed,WND_speedQC,SKY_ceiling,SKY_ceilingQC,SKY_ceilingDC,SKY_CAVOK,VIS_distance,VIS_distanceQC,VIS_variability,VIS_variabilityQC,AIR_temp,AIR_tempQC,DEW_temp,DEW_tempQC,SLP_pressure,SLP_pressureQC
1,2014-01-01T00:54:00,PGUM ,060,5,N,0057,5,00671,5,M,N,016093,5,N,5,+0283,5,+0239,5,+0239,5
2,2014-01-01T01:05:00,PGUM ,060,5,N,0072,5,00853,5,M,N,002816,5,N,5,+0270,5,+0240,5,+0240,5
3,2014-01-01T01:09:00,PGUM ,060,5,N,0062,5,01067,5,M,N,003219,5,N,5,+0270,5,+0240,5,+0240,5
4,2014-01-01T01:11:00,PGUM ,060,5,N,0062,5,01067,5,M,N,008047,5,N,5,+0270,5,+0240,5,+0240,5
5,2014-01-01T01:54:00,PGUM ,050,5,N,0051,5,01829,5,M,N,016093,5,N,5,+0278,5,+0261,5,+0261,5
6,2014-01-01T02:54:00,PGUM ,060,5,N,0062,5,02134,5,M,N,016093,5,N,5,+0283,5,+0239,5,+0239,5
7,2014-01-01T03:54:00,PGUM ,070,5,N,0067,5,01829,5,M,N,016093,5,N,5,+0283,5,+0233,5,+0233,5
8,2014-01-01T04:54:00,PGUM ,060,5,N,0067,5,02134,5,M,N,016093,5,N,5,+0283,5,+0239,5,+0239,5
9,2014-01-01T05:54:00,PGUM ,080,5,N,0072,5,22000,5,C,N,016093,5,N,5,+0283,5,+0239,5,+0239,5
11,2014-01-01T06:54:00,PGUM ,060,5,N,0057,5,02438,5,M,N,016093,5,N,5,+0278,5,+0244,5,+0244,5
12,2014-01-01T07:54:00,PGUM ,070,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0272,5,+0239,5,+0239,5
13,2014-01-01T08:54:00,PGUM ,070,5,N,0041,5,22000,5,9,N,016093,5,N,5,+0267,5,+0239,5,+0239,5
14,2014-01-01T09:54:00,PGUM ,070,5,N,0041,5,22000,5,9,N,016093,5,N,5,+0267,5,+0233,5,+0233,5
15,2014-01-01T10:54:00,PGUM ,050,5,N,0036,5,22000,5,9,N,016093,5,N,5,+0256,5,+0239,5,+0239,5
16,2014-01-01T11:54:00,PGUM ,090,5,N,0046,5,01158,5,M,N,011265,5,N,5,+0250,5,+0233,5,+0233,5
18,2014-01-01T12:54:00,PGUM ,070,5,N,0057,5,02438,5,M,N,016093,5,N,5,+0255,5,+0239,5,+0239,5
19,2014-01-01T13:54:00,PGUM ,070,5,N,0051,5,22000,5,9,N,016093,5,N,5,+0250,5,+0239,5,+0239,5
20,2014-01-01T13:59:00,PGUM ,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,+9999,9,+9999,9,+9999,9
21,2014-01-01T14:54:00,PGUM ,060,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0250,5,+0239,5,+0239,5
22,2014-01-01T15:54:00,PGUM ,070,5,N,0036,5,22000,5,C,N,016093,5,N,5,+0256,5,+0239,5,+0239,5
23,2014-01-01T16:54:00,PGUM ,060,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0250,5,+0239,5,+0239,5
24,2014-01-01T17:54:00,PGUM ,070,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0250,A,+0240,A,+0240,A
26,2014-01-01T18:54:00,PGUM ,070,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0250,5,+0239,5,+0239,5
27,2014-01-01T19:54:00,PGUM ,060,5,N,0041,5,22000,5,C,N,016093,5,N,5,+0250,5,+0239,5,+0239,5
28,2014-01-01T20:54:00,PGUM ,050,5,N,0036,5,22000,5,9,N,016093,5,N,5,+0244,5,+0233,5,+0233,5
