DATE,WND_direction,WND_dQC,WND_type,WND_speed,WND_speedQC,SKY_ceiling,SKY_ceilingQC,SKY_ceilingDC,SKY_CAVOK,VIS_distance,VIS_distanceQC,VIS_variability,VIS_variabilityQC,AIR_temp,AIR_tempQC,DEW_temp,DEW_tempQC,SLP_pressure,SLP_pressureQC
2015-01-01 00:02:00,060,5,N,0067,5,00701,5,M,N,016093,5,N,5,+0290,5,+0230,5,+0230,5
2015-01-01 00:22:00,080,5,N,0067,5,00945,5,M,N,016093,5,N,5,+0290,5,+0240,5,+0240,5
2015-01-01 00:54:00,080,5,N,0062,5,01524,5,M,N,016093,5,N,5,+0300,5,+0222,5,+0222,5
2015-01-01 01:54:00,080,5,N,0067,5,01524,5,M,N,016093,5,N,5,+0311,5,+0233,5,+0233,5
2015-01-01 02:33:00,070,5,N,0062,5,00732,5,M,N,016093,5,N,5,+0310,5,+0230,5,+0230,5
2015-01-01 02:54:00,090,5,N,0057,5,00732,5,M,N,016093,5,N,5,+0306,5,+0228,5,+0228,5
2015-01-01 05:54:00,080,5,N,0046,5,22000,5,C,N,016093,5,N,5,+0300,5,+0228,5,+0228,5
2015-01-01 11:54:00,050,5,N,0031,5,01189,5,M,N,016093,5,N,5,+0272,5,+0233,5,+0233,5
2015-01-01 13:54:00,030,5,N,0026,5,01829,5,M,N,016093,5,N,5,+0267,5,+0233,5,+0233,5
2015-01-01 14:54:00,050,5,N,0046,5,01829,5,M,N,016093,5,N,5,+0272,5,+0239,5,+0239,5
2015-01-01 15:54:00,060,5,N,0046,5,02134,5,M,N,016093,5,N,5,+0272,5,+0233,5,+0233,5
2015-01-01 16:54:00,040,5,N,0026,5,02134,5,M,N,016093,5,N,5,+0267,5,+0228,5,+0228,5
2015-01-01 17:54:00,050,5,N,0072,5,01676,5,M,N,016093,5,N,5,+0267,5,+0222,5,+0222,5
2015-01-01 18:54:00,050,5,N,0046,5,01524,5,M,N,016093,5,N,5,+0256,5,+0222,5,+0222,5
2015-01-01 19:54:00,030,5,N,0057,5,22000,5,C,N,016093,5,N,5,+0256,5,+0233,5,+0233,5
2015-01-01 20:54:00,010,5,N,0041,5,02286,5,M,N,016093,5,N,5,+0250,5,+0228,5,+0228,5
2015-01-01 22:35:00,010,5,N,0036,5,00457,5,M,N,016093,5,N,5,+0280,5,+0240,5,+0240,5
2015-01-01 22:54:00,050,5,N,0077,5,00457,5,M,N,004023,5,N,5,+0261,5,+0239,5,+0239,5
2015-01-01 23:01:00,050,5,N,0062,5,01219,5,M,N,006437,5,N,5,+0260,5,+0240,5,+0240,5
2015-01-01 23:54:00,060,5,N,0088,5,22000,5,C,N,016093,5,N,5,+0283,5,+0256,5,+0256,5
2015-01-02 00:28:00,050,5,N,0072,5,00884,5,M,N,016093,5,N,5,+0300,5,+0250,5,+0250,5
2015-01-02 00:36:00,060,5,N,0093,5,22000,5,C,N,016093,5,N,5,+0300,5,+0240,5,+0240,5
2015-01-02 00:54:00,050,5,N,0093,5,01280,5,M,N,014484,5,N,5,+0294,5,+0244,5,+0244,5
2015-01-02 01:54:00,050,5,N,0093,5,01280,5,M,N,016093,5,N,5,+0306,5,+0239,5,+0239,5
2015-01-02 02:54:00,060,5,N,0103,5,01280,5,M,N,016093,5,N,5,+0311,5,+0239,5,+0239,5
2015-01-02 03:54:00,070,5,N,0077,5,22000,5,C,N,016093,5,N,5,+0311,5,+0233,5,+0233,5
2015-01-02 05:54:00,050,5,N,0082,5,03048,5,M,N,016093,5,N,5,+0300,5,+0239,5,+0239,5
2015-01-02 06:14:00,090,5,N,0072,5,00853,5,M,N,016093,5,N,5,+0290,5,+0240,5,+0240,5
2015-01-02 06:28:00,060,5,N,0067,5,00610,5,M,N,004023,5,N,5,+0270,5,+0260,5,+0260,5
2015-01-02 06:36:00,050,5,N,0051,5,00640,5,M,N,004828,5,N,5,+0270,5,+0260,5,+0260,5
2015-01-02 06:52:00,060,5,N,0082,5,00701,5,M,N,003219,5,N,5,+0270,5,+0250,5,+0250,5
2015-01-02 06:54:00,060,5,N,0093,5,00427,5,M,N,003219,5,N,5,+0267,5,+0250,5,+0250,5
2015-01-02 07:01:00,060,5,N,0093,5,00914,5,M,N,009656,5,N,5,+0260,5,+0240,5,+0240,5
2015-01-02 07:54:00,060,5,N,0062,5,01311,5,M,N,004828,5,N,5,+0256,5,+0244,5,+0244,5
2015-01-02 08:54:00,050,5,N,0072,5,01219,5,M,N,011265,5,N,5,+0256,5,+0239,5,+0239,5
2015-01-02 09:52:00,080,5,N,0072,5,01524,5,M,N,004828,5,N,5,+0260,5,+0240,5,+0240,5
2015-01-02 09:54:00,080,5,N,0082,5,00610,5,M,N,004023,5,N,5,+0256,5,+0244,5,+0244,5
2015-01-02 10:03:00,070,5,N,0103,5,00853,5,M,N,011265,5,N,5,+0260,5,+0240,5,+0240,5
2015-01-02 10:10:00,080,5,N,0093,5,01097,5,M,N,009656,5,N,5,+0250,5,+0240,5,+0240,5
2015-01-02 10:17:00,070,5,N,0077,5,00975,5,M,N,004828,5,N,5,+0250,5,+0240,5,+0240,5
2015-01-02 10:54:00,050,5,N,0051,5,01402,5,M,N,016093,5,N,5,+0256,5,+0244,5,+0244,5
2015-01-02 11:02:00,050,5,N,0046,5,00914,5,M,N,016093,5,N,5,+0260,5,+0240,5,+0240,5
2015-01-02 11:54:00,050,5,N,0062,5,02286,5,M,N,014484,5,N,5,+0256,5,+0244,5,+0244,5
2015-01-02 12:54:00,050,5,N,0051,5,22000,5,C,N,016093,5,N,5,+0256,5,+0244,5,+0244,5
2015-01-02 13:09:00,090,5,N,0057,5,01036,5,M,N,004023,5,N,5,+0240,5,+0230,5,+0230,5
2015-01-02 13:16:00,080,5,N,0051,5,00975,5,M,N,008047,5,N,5,+0240,5,+0230,5,+0230,5
2015-01-02 13:54:00,080,5,N,0077,5,01280,5,M,N,012875,5,N,5,+0256,5,+0244,5,+0244,5
2015-01-02 15:54:00,080,5,N,0072,5,22000,5,C,N,009656,5,N,5,+0256,5,+0239,5,+0239,5
2015-01-02 16:52:00,100,5,N,0067,5,00579,5,M,N,014484,5,N,5,+0260,5,+0240,5,+0240,5
2015-01-02 16:54:00,100,5,N,0051,5,00579,5,M,N,012875,5,N,5,+0261,5,+0239,5,+0239,5
2015-01-02 17:18:00,080,5,N,0031,5,00914,5,M,N,009656,5,N,5,+0260,5,+0240,5,+0240,5
2015-01-02 17:52:00,090,5,N,0082,5,00671,5,M,N,008047,5,N,5,+0260,5,+0240,5,+0240,5
2015-01-02 17:54:00,090,5,N,0077,5,00732,5,M,N,009656,5,N,5,+0250,5,+0233,5,+0233,5
2015-01-02 18:09:00,100,5,N,0041,5,00975,5,M,N,016093,5,N,5,+0250,5,+0240,5,+0240,5
2015-01-02 18:54:00,090,5,N,0046,5,01311,5,M,N,008047,5,N,5,+0256,5,+0244,5,+0244,5
2015-01-02 19:05:00,090,5,N,0041,5,00762,5,M,N,011265,5,N,5,+0260,5,+0240,5,+0240,5
2015-01-02 19:37:00,080,5,N,0057,5,00914,5,M,N,016093,5,N,5,+0250,5,+0240,5,+0240,5
2015-01-02 19:54:00,080,5,N,0046,5,01524,5,M,N,016093,5,N,5,+0250,5,+0233,5,+0233,5
2015-01-02 21:54:00,080,5,N,0041,5,01067,5,M,N,016093,5,N,5,+0256,5,+0239,5,+0239,5
2015-01-02 22:54:00,080,5,N,0051,5,01311,5,M,N,004828,5,N,5,+0256,5,+0233,5,+0233,5
2015-01-02 23:54:00,070,5,N,0072,5,01494,5,M,N,016093,5,N,5,+0261,5,+0233,5,+0233,5
2015-01-03 00:54:00,060,5,N,0062,5,03658,5,M,N,016093,5,N,5,+0283,5,+0250,5,+0250,5
