DATE,WND_direction,WND_dQC,WND_type,WND_speed,WND_speedQC,SKY_ceiling,SKY_ceilingQC,SKY_ceilingDC,SKY_CAVOK,VIS_distance,VIS_distanceQC,VIS_variability,VIS_variabilityQC,AIR_temp,AIR_tempQC,DEW_temp,DEW_tempQC,SLP_pressure,SLP_pressureQC
2020-01-01 01:54:00,080,5,N,0072,5,01676,5,M,N,016093,5,N,5,+0278,5,+0206,5,+0206,5
2020-01-01 02:54:00,080,5,N,0062,5,01524,5,M,N,016093,5,N,5,+0289,5,+0200,5,+0200,5
2020-01-01 03:54:00,080,5,N,0077,5,01463,5,M,N,016093,5,N,5,+0283,5,+0200,5,+0200,5
2020-01-01 04:54:00,080,5,N,0082,5,22000,5,C,N,016093,5,N,5,+0289,5,+0211,5,+0211,5
2020-01-01 05:54:00,070,5,N,0062,5,22000,5,C,N,016093,5,N,5,+0278,5,+0211,5,+0211,5
2020-01-01 08:54:00,060,5,N,0046,5,22000,5,C,N,016093,5,N,5,+0267,5,+0211,5,+0211,5
2020-01-01 09:54:00,060,5,N,0051,5,22000,5,C,N,016093,5,N,5,+0261,5,+0217,5,+0217,5
2020-01-01 10:54:00,070,5,N,0072,5,22000,5,C,N,016093,5,N,5,+0261,5,+0217,5,+0217,5
2020-01-01 11:54:00,060,5,N,0057,5,22000,5,C,N,016093,5,N,5,+0256,5,+0222,5,+0222,5
2020-01-01 12:54:00,070,5,N,0062,5,01433,5,M,N,016093,5,N,5,+0256,5,+0222,5,+0222,5
2020-01-01 16:54:00,060,5,N,0041,5,01829,5,M,N,016093,5,N,5,+0244,5,+0222,5,+0222,5
2020-01-01 19:54:00,060,5,N,0062,5,01676,5,M,N,016093,5,N,5,+0250,5,+0217,5,+0217,5
2020-01-01 20:54:00,060,5,N,0046,5,01676,5,M,N,016093,5,N,5,+0250,5,+0217,5,+0217,5
2020-01-01 21:54:00,060,5,N,0046,5,01829,5,M,N,016093,5,N,5,+0256,5,+0217,5,+0217,5
2020-01-01 22:54:00,070,5,N,0041,5,01372,5,M,N,008047,5,N,5,+0256,5,+0222,5,+0222,5
2020-01-01 23:54:00,090,5,N,0046,5,00762,5,M,N,012875,5,N,5,+0261,5,+0233,5,+0233,5
2020-01-02 00:14:00,070,5,N,0057,5,00823,5,M,N,016093,5,N,5,+0278,5,+0239,5,+0239,5
2020-01-02 00:25:00,070,5,N,0067,5,00945,5,M,N,016093,5,N,5,+0278,5,+0228,5,+0228,5
2020-01-02 00:54:00,070,5,N,0088,5,01676,5,M,N,016093,5,N,5,+0283,5,+0217,5,+0217,5
2020-01-02 01:54:00,050,5,N,0098,5,01036,5,M,N,016093,5,N,5,+0294,5,+0206,5,+0206,5
