DATE,WND_direction,WND_dQC,WND_type,WND_speed,WND_speedQC,SKY_ceiling,SKY_ceilingQC,SKY_ceilingDC,SKY_CAVOK,VIS_distance,VIS_distanceQC,VIS_variability,VIS_variabilityQC,AIR_temp,AIR_tempQC,DEW_temp,DEW_tempQC,SLP_pressure,SLP_pressureQC
2013-01-01 00:10:00,080,5,N,0088,5,00549,5,M,N,004828,5,N,5,+0280,5,+0260,5,+0260,5
2013-01-01 00:54:00,090,5,N,0057,5,00610,5,M,N,006437,5,N,5,+0278,5,+0261,5,+0261,5
2013-01-01 01:32:00,090,5,N,0062,5,00884,5,M,N,006437,5,N,5,+0280,5,+0260,5,+0260,5
2013-01-01 02:43:00,070,5,N,0077,5,00640,5,M,N,004828,5,N,5,+0280,5,+0260,5,+0260,5
2013-01-01 02:54:00,080,5,N,0082,5,00945,5,M,N,016093,5,N,5,+0283,5,+0261,5,+0261,5
2013-01-01 03:25:00,070,5,N,0082,5,00732,5,M,N,016093,5,N,5,+0290,5,+0260,5,+0260,5
2013-01-01 03:40:00,080,5,N,0082,5,00488,5,M,N,016093,5,N,5,+0290,5,+0260,5,+0260,5
2013-01-01 04:49:00,070,5,N,0082,5,00884,5,M,N,016093,5,N,5,+0290,5,+0260,5,+0260,5
2013-01-01 04:54:00,080,5,N,0077,5,00792,5,M,N,016093,5,N,5,+0289,5,+0256,5,+0256,5
2013-01-01 06:51:00,090,5,N,0072,5,00732,5,M,N,016093,5,N,5,+0290,5,+0250,5,+0250,5
2013-01-01 08:19:00,080,5,N,0098,5,00792,5,M,N,016093,5,N,5,+0280,5,+0250,5,+0250,5
2013-01-01 10:24:00,090,5,N,0057,5,00610,5,M,N,016093,5,N,5,+0270,5,+0260,5,+0260,5
2013-01-01 11:16:00,080,5,N,0062,5,00823,5,M,N,016093,5,N,5,+0270,5,+0260,5,+0260,5
2013-01-01 16:36:00,090,5,N,0057,5,00549,5,M,N,016093,5,N,5,+0270,5,+0250,5,+0250,5
2013-01-01 16:54:00,080,5,N,0051,5,00640,5,M,N,014484,5,N,5,+0267,5,+0250,5,+0250,5
2013-01-02 00:08:00,070,5,N,0072,5,00792,5,M,N,016093,5,N,5,+0290,5,+0260,5,+0260,5
2013-01-02 00:54:00,080,5,N,0093,5,00579,5,M,N,016093,5,N,5,+0300,5,+0250,5,+0250,5
2013-01-02 01:09:00,060,5,N,0103,5,01219,5,M,N,016093,5,N,5,+0290,5,+0250,5,+0250,5
2013-01-02 02:54:00,090,5,N,0093,5,01524,5,M,N,016093,5,N,5,+0294,5,+0250,5,+0250,5
2013-01-02 04:37:00,070,5,N,0067,5,00518,5,M,N,016093,5,N,5,+0300,5,+0260,5,+0260,5
2013-01-02 04:54:00,080,5,N,0082,5,00579,5,M,N,016093,5,N,5,+0294,5,+0250,5,+0250,5
2013-01-02 05:29:00,080,5,N,0077,5,00579,5,M,N,016093,5,N,5,+0290,5,+0250,5,+0250,5
2013-01-02 09:30:00,080,5,N,0067,5,01158,5,M,N,011265,5,N,5,+0260,5,+0240,5,+0240,5
2013-01-02 14:54:00,070,5,N,0072,5,01463,5,M,N,014484,5,N,5,+0261,5,+0244,5,+0244,5
2013-01-02 15:15:00,080,5,N,0062,5,00823,5,M,N,006437,5,N,5,+0260,5,+0250,5,+0250,5
2013-01-02 15:24:00,080,5,N,0067,5,01158,5,M,N,014484,5,N,5,+0260,5,+0240,5,+0240,5
2013-01-02 16:54:00,080,5,N,0051,5,00884,5,M,N,014484,5,N,5,+0261,5,+0244,5,+0244,5
2013-01-02 17:01:00,080,5,N,0051,5,01006,5,M,N,016093,5,N,5,+0260,5,+0240,5,+0240,5
2013-01-02 21:54:00,080,5,N,0077,5,00823,5,M,N,012875,5,N,5,+0267,5,+0233,5,+0233,5
2013-01-02 22:01:00,080,5,N,0093,5,01494,5,M,N,016093,5,N,5,+0270,5,+0230,5,+0230,5
