DATE,WND_direction,WND_dQC,WND_type,WND_speed,WND_speedQC,SKY_ceiling,SKY_ceilingQC,SKY_ceilingDC,SKY_CAVOK,VIS_distance,VIS_distanceQC,VIS_variability,VIS_variabilityQC,AIR_temp,AIR_tempQC,DEW_temp,DEW_tempQC,SLP_pressure,SLP_pressureQC
2018-01-01 00:36:00,090,5,N,0051,5,00853,5,M,N,016093,5,N,5,+0283,5,+0250,5,+0250,5
2018-01-01 00:45:00,080,5,N,0077,5,01006,5,M,N,016093,5,N,5,+0283,5,+0250,5,+0250,5
2018-01-01 00:54:00,090,5,N,0077,5,01006,5,M,N,016093,5,N,5,+0289,5,+0244,5,+0244,5
2018-01-01 01:52:00,090,5,N,0062,5,02134,5,M,N,016093,5,N,5,+0290,5,+0250,5,+0250,5
2018-01-01 01:54:00,090,5,N,0067,5,02134,5,M,N,016093,5,N,5,+0294,5,+0250,5,+0250,5
2018-01-01 02:54:00,100,5,N,0057,5,02286,5,M,N,016093,5,N,5,+0294,5,+0244,5,+0244,5
2018-01-01 04:54:00,100,5,N,0062,5,01494,5,M,N,016093,5,N,5,+0294,5,+0244,5,+0244,5
2018-01-01 05:40:00,080,5,N,0072,5,01158,5,M,N,016093,5,N,5,+0294,5,+0244,5,+0244,5
2018-01-01 05:54:00,080,5,N,0072,5,01219,5,M,N,016093,5,N,5,+0294,5,+0244,5,+0244,5
2018-01-01 06:54:00,080,5,N,0057,5,01402,5,M,N,016093,5,N,5,+0289,5,+0244,5,+0244,5
2018-01-01 07:54:00,070,5,N,0057,5,01189,5,M,N,016093,5,N,5,+0283,5,+0239,5,+0239,5
2018-01-01 08:54:00,080,5,N,0041,5,01524,5,M,N,014484,5,N,5,+0267,5,+0250,5,+0250,5
2018-01-01 09:54:00,050,5,N,0051,5,01829,5,M,N,016093,5,N,5,+0261,5,+0239,5,+0239,5
2018-01-01 10:54:00,070,5,N,0057,5,01494,5,M,N,016093,5,N,5,+0267,5,+0250,5,+0250,5
2018-01-01 12:54:00,080,5,N,0051,5,01524,5,M,N,016093,5,N,5,+0272,5,+0233,5,+0233,5
2018-01-01 13:54:00,070,5,N,0046,5,01494,5,M,N,016093,5,N,5,+0272,5,+0239,5,+0239,5
2018-01-01 14:54:00,080,5,N,0041,5,22000,5,C,N,016093,5,N,5,+0267,5,+0239,5,+0239,5
2018-01-02 00:54:00,080,5,N,0046,5,01433,5,M,N,016093,5,N,5,+0300,5,+0233,5,+0233,5
2018-01-02 12:38:00,050,5,N,0036,5,01402,5,M,N,016093,5,N,5,+0256,5,+0239,5,+0239,5
2018-01-03 05:52:00,100,5,N,0046,5,00853,5,M,N,016093,5,N,5,+0290,5,+0220,5,+0220,5
2018-01-03 05:54:00,080,5,N,0057,5,00853,5,M,N,016093,5,N,5,+0294,5,+0217,5,+0217,5
2018-01-03 23:54:00,030,5,N,0041,5,00792,5,M,N,016093,5,N,5,+0294,5,+0233,5,+0233,5
2018-01-04 00:54:00,040,5,N,0041,5,22000,5,C,N,016093,5,N,5,+0289,5,+0233,5,+0233,5
2018-01-04 01:54:00,060,5,N,0046,5,00823,5,M,N,016093,5,N,5,+0300,5,+0233,5,+0233,5
2018-01-04 02:54:00,050,5,N,0046,5,00884,5,M,N,016093,5,N,5,+0300,5,+0233,5,+0233,5
2018-01-04 04:28:00,090,5,N,0057,5,00914,5,M,N,016093,5,N,5,+0306,5,+0233,5,+0233,5
2018-01-04 04:54:00,050,5,N,0057,5,01036,5,M,N,016093,5,N,5,+0306,5,+0233,5,+0233,5
2018-01-04 05:12:00,060,5,N,0057,5,01158,5,M,N,016093,5,N,5,+0294,5,+0228,5,+0228,5
2018-01-04 06:54:00,060,5,N,0057,5,22000,5,C,N,016093,5,N,5,+0289,5,+0233,5,+0233,5
2018-01-04 15:54:00,030,5,N,0026,5,22000,5,C,N,016093,5,N,5,+0250,5,+0239,5,+0239,5
2018-01-04 17:54:00,040,5,N,0026,5,22000,5,C,N,016093,5,N,5,+0250,5,+0239,5,+0239,5
2018-01-04 19:26:00,060,5,N,0026,5,02134,5,M,N,016093,5,N,5,+0250,5,+0244,5,+0244,5
2018-01-04 19:54:00,070,5,N,0046,5,22000,5,C,N,016093,5,N,5,+0250,5,+0239,5,+0239,5
2018-01-04 20:54:00,070,5,N,0036,5,01128,5,M,N,012875,5,N,5,+0250,5,+0244,5,+0244,5
2018-01-04 21:29:00,070,5,N,0067,5,00488,5,M,N,006437,5,N,5,+0256,5,+0250,5,+0250,5
2018-01-04 21:44:00,070,5,N,0077,5,01311,5,M,N,016093,5,N,5,+0256,5,+0244,5,+0244,5
2018-01-04 21:54:00,090,5,N,0057,5,22000,5,C,N,008047,5,N,5,+0256,5,+0244,5,+0244,5
2018-01-04 22:45:00,070,5,N,0046,5,01097,5,M,N,016093,5,N,5,+0261,5,+0250,5,+0250,5
2018-01-04 22:52:00,060,5,N,0046,5,00823,5,M,N,009656,5,N,5,+0260,5,+0260,5,+0260,5
2018-01-04 22:54:00,060,5,N,0046,5,00823,5,M,N,009656,5,N,5,+0261,5,+0256,5,+0256,5
2018-01-04 23:19:00,070,5,N,0062,5,01158,5,M,N,014484,5,N,5,+0261,5,+0250,A,+0250,A
2018-01-05 00:54:00,060,5,N,0077,5,01463,5,M,N,016093,5,N,5,+0278,5,+0256,5,+0256,5
2018-01-05 01:17:00,070,5,N,0098,5,00945,5,M,N,004828,5,N,5,+0267,5,+0256,5,+0256,5
2018-01-05 01:24:00,070,5,N,0067,5,01036,5,M,N,003219,5,N,5,+0267,5,+0250,5,+0250,5
2018-01-05 01:33:00,070,5,N,0072,5,01189,5,M,N,009656,5,N,5,+0267,5,+0256,5,+0256,5
2018-01-05 01:54:00,070,5,N,0088,5,01829,5,M,N,009656,5,N,5,+0278,5,+0256,5,+0256,5
2018-01-05 02:45:00,080,5,N,0077,5,01524,5,M,N,014484,5,N,5,+0278,5,+0250,5,+0250,5
2018-01-05 02:54:00,080,5,N,0077,5,01676,5,M,N,016093,5,N,5,+0283,5,+0244,5,+0244,5
2018-01-05 03:54:00,070,5,N,0072,5,02134,5,M,N,016093,5,N,5,+0283,5,+0244,5,+0244,5
2018-01-05 04:54:00,080,5,N,0082,5,22000,5,C,N,016093,5,N,5,+0294,5,+0244,5,+0244,5
2018-01-05 06:52:00,080,5,N,0057,5,00975,5,M,N,016093,5,N,5,+0270,5,+0260,5,+0260,5
2018-01-05 06:54:00,080,5,N,0057,5,01036,5,M,N,016093,5,N,5,+0272,5,+0256,5,+0256,5
2018-01-05 07:32:00,080,5,N,0062,5,22000,5,C,N,016093,5,N,5,+0267,5,+0250,5,+0250,5
2018-01-05 08:54:00,080,5,N,0051,5,22000,5,C,N,016093,5,N,5,+0267,5,+0239,5,+0239,5
2018-01-05 09:54:00,070,5,N,0062,5,22000,5,C,N,016093,5,N,5,+0267,5,+0244,5,+0244,5
2018-01-05 10:54:00,070,5,N,0057,5,22000,5,C,N,016093,5,N,5,+0267,5,+0239,5,+0239,5
2018-01-05 11:54:00,070,5,N,0051,5,01676,5,M,N,016093,5,N,5,+0272,5,+0239,5,+0239,5
2018-01-05 13:54:00,080,5,N,0046,5,22000,5,C,N,016093,5,N,5,+0267,5,+0239,5,+0239,5
2018-01-05 18:54:00,060,5,N,0031,5,22000,5,C,N,016093,5,N,5,+0256,5,+0233,5,+0233,5
2018-01-05 23:29:00,060,5,N,0057,5,00732,5,M,N,016093,5,N,5,+0289,5,+0233,5,+0233,5
2018-01-06 01:54:00,060,5,N,0062,5,01036,5,M,N,016093,5,N,5,+0294,5,+0228,5,+0228,5
2018-01-06 05:54:00,020,5,N,0051,5,01158,5,M,N,016093,5,N,5,+0294,5,+0228,5,+0228,5
2018-01-06 06:28:00,050,5,N,0057,5,22000,5,C,N,016093,5,N,5,+0289,5,+0228,5,+0228,5
2018-01-07 02:54:00,030,5,N,0072,5,01006,5,M,N,016093,5,N,5,+0294,5,+0222,5,+0222,5
2018-01-07 03:54:00,050,5,N,0067,5,01402,5,M,N,016093,5,N,5,+0300,5,+0222,5,+0222,5
2018-01-07 04:54:00,040,5,N,0067,5,01280,5,M,N,016093,5,N,5,+0294,5,+0228,5,+0228,5
2018-01-07 05:54:00,050,5,N,0072,5,01433,5,M,N,016093,5,N,5,+0289,5,+0228,5,+0228,5
2018-01-07 06:54:00,060,5,N,0072,5,22000,5,C,N,016093,5,N,5,+0289,5,+0222,5,+0222,5
2018-01-07 10:54:00,050,5,N,0041,5,22000,5,C,N,016093,5,N,5,+0267,5,+0233,5,+0233,5
2018-01-07 11:54:00,070,5,N,0051,5,22000,5,C,N,016093,5,N,5,+0267,5,+0228,5,+0228,5
2018-01-07 13:54:00,070,5,N,0051,5,22000,5,C,N,016093,5,N,5,+0272,5,+0228,5,+0228,5
2018-01-08 01:54:00,060,5,N,0082,5,22000,5,C,N,016093,5,N,5,+0300,5,+0217,5,+0217,5
2018-01-08 02:54:00,060,5,N,0098,5,01219,5,M,N,016093,5,N,5,+0306,5,+0222,5,+0222,5
2018-01-08 03:54:00,040,5,N,0098,5,00975,5,M,N,016093,5,N,5,+0294,5,+0233,5,+0233,5
2018-01-08 06:54:00,070,5,N,0108,5,22000,5,C,N,016093,5,N,5,+0294,5,+0228,5,+0228,5
2018-01-08 07:54:00,060,5,N,0088,5,22000,5,C,N,016093,5,N,5,+0283,5,+0233,5,+0233,5
2018-01-08 12:54:00,070,5,N,0077,5,22000,5,C,N,016093,5,N,5,+0272,5,+0233,5,+0233,5
2018-01-08 19:54:00,070,5,N,0051,5,01372,5,M,N,016093,5,N,5,+0267,5,+0228,5,+0228,5
2018-01-08 20:54:00,050,5,N,0046,5,01524,5,M,N,016093,5,N,5,+0267,5,+0228,5,+0228,5
2018-01-08 21:54:00,060,5,N,0046,5,01463,5,M,N,016093,5,N,5,+0278,5,+0233,5,+0233,5
2018-01-09 02:54:00,060,5,N,0093,5,00914,5,M,N,016093,5,N,5,+0317,5,+0233,5,+0233,5
2018-01-09 03:54:00,060,5,N,0088,5,01036,5,M,N,016093,5,N,5,+0322,5,+0239,5,+0239,5
2018-01-09 04:54:00,060,5,N,0072,5,00792,5,M,N,016093,5,N,5,+0294,5,+0244,5,+0244,5
2018-01-09 05:17:00,080,5,N,0072,5,00701,5,M,N,004828,5,N,5,+0278,5,+0267,5,+0267,5
2018-01-09 05:39:00,080,5,N,0057,5,22000,5,C,N,016093,5,N,5,+0278,5,+0267,5,+0267,5
2018-01-09 05:54:00,080,5,N,0077,5,22000,5,C,N,016093,5,N,5,+0283,5,+0256,5,+0256,5
2018-01-09 06:12:00,070,5,N,0057,5,00396,5,M,N,002816,5,V,5,+0278,5,+0261,5,+0261,5
2018-01-09 06:26:00,070,5,N,0077,5,00366,5,M,N,004828,5,N,5,+0272,5,+0267,5,+0267,5
2018-01-09 06:35:00,090,5,N,0067,5,00884,5,M,N,008047,5,N,5,+0267,5,+0261,5,+0261,5
2018-01-09 06:44:00,090,5,N,0062,5,00945,5,M,N,009656,5,N,5,+0267,5,+0261,5,+0261,5
2018-01-09 06:54:00,090,5,N,0046,5,01006,5,M,N,016093,5,N,5,+0272,5,+0261,5,+0261,5
2018-01-09 07:09:00,090,5,N,0051,5,00579,5,M,N,001609,5,N,5,+0261,5,+0261,5,+0261,5
2018-01-09 07:20:00,090,5,N,0062,5,00640,5,M,N,004828,5,N,5,+0261,5,+0256,5,+0256,5
