DATE,WND_direction,WND_dQC,WND_type,WND_speed,WND_speedQC,SKY_ceiling,SKY_ceilingQC,SKY_ceilingDC,SKY_CAVOK,VIS_distance,VIS_distanceQC,VIS_variability,VIS_variabilityQC,AIR_temp,AIR_tempQC,DEW_temp,DEW_tempQC,SLP_pressure,SLP_pressureQC
2019-01-01 00:54:00,060,5,N,0072,5,01676,5,M,N,016093,5,N,5,+0289,5,+0261,5,+0261,5
2019-01-01 01:54:00,040,5,N,0082,5,01006,5,M,N,012875,5,N,5,+0283,5,+0256,5,+0256,5
2019-01-01 02:54:00,030,5,N,0077,5,01219,5,M,N,006437,5,N,5,+0272,5,+0256,5,+0256,5
2019-01-01 03:15:00,020,5,N,0088,5,00792,5,M,N,016093,5,N,5,+0294,5,+0256,5,+0256,5
2019-01-01 03:36:00,030,5,N,0093,5,01433,5,M,N,016093,5,N,5,+0294,5,+0256,5,+0256,5
2019-01-01 03:52:00,020,5,N,0082,5,00640,5,M,N,016093,5,N,5,+0290,5,+0250,5,+0250,5
2019-01-01 03:54:00,030,5,N,0088,5,00579,5,M,N,016093,5,N,5,+0289,5,+0250,5,+0250,5
2019-01-01 04:52:00,040,5,N,0088,5,00792,5,M,N,016093,5,N,5,+0290,5,+0250,5,+0250,5
2019-01-01 04:54:00,030,5,N,0077,5,01067,5,M,N,016093,5,N,5,+0289,5,+0250,5,+0250,5
2019-01-01 05:19:00,020,5,N,0077,5,00975,5,M,N,016093,5,N,5,+0283,5,+0250,5,+0250,5
2019-01-01 06:54:00,030,5,N,0067,5,01524,5,M,N,016093,5,N,5,+0267,5,+0256,5,+0256,5
2019-01-01 07:54:00,030,5,N,0051,5,22000,5,C,N,012875,5,N,5,+0267,5,+0250,5,+0250,5
2019-01-01 08:54:00,030,5,N,0057,5,22000,5,C,N,016093,5,N,5,+0267,5,+0250,5,+0250,5
2019-01-01 09:54:00,040,5,N,0062,5,01250,5,M,N,016093,5,N,5,+0267,5,+0250,5,+0250,5
2019-01-01 11:54:00,040,5,N,0057,5,22000,5,C,N,016093,5,N,5,+0261,5,+0250,5,+0250,5
2019-01-01 13:54:00,040,5,N,0057,5,01250,5,M,N,016093,5,N,5,+0267,5,+0239,5,+0239,5
2019-01-01 17:54:00,030,5,N,0051,5,22000,5,C,N,016093,5,N,5,+0261,5,+0244,5,+0244,5
2019-01-02 01:54:00,040,5,N,0098,5,01006,5,M,N,016093,5,N,5,+0311,5,+0250,5,+0250,5
2019-01-02 09:54:00,060,5,N,0057,5,22000,5,C,N,016093,5,N,5,+0278,5,+0233,5,+0233,5
2019-01-02 13:54:00,060,5,N,0062,5,22000,5,C,N,016093,5,N,5,+0278,5,+0244,5,+0244,5
2019-01-02 16:35:00,040,5,N,0051,5,01128,5,M,N,011265,5,N,5,+0256,5,+0250,5,+0250,5
2019-01-02 16:54:00,060,5,N,0046,5,01097,5,M,N,016093,5,N,5,+0261,5,+0256,5,+0256,5
2019-01-03 05:54:00,060,5,N,0077,5,22000,5,C,N,016093,5,N,5,+0300,5,+0239,5,+0239,5
2019-01-03 06:32:00,030,5,N,0103,5,01067,5,M,N,016093,5,N,5,+0294,5,+0244,5,+0244,5
2019-01-03 06:54:00,060,5,N,0088,5,01067,5,M,N,016093,5,N,5,+0289,5,+0239,5,+0239,5
2019-01-03 08:54:00,030,5,N,0041,5,01158,5,M,N,016093,5,N,5,+0278,5,+0244,5,+0244,5
2019-01-03 10:54:00,040,5,N,0057,5,22000,5,C,N,016093,5,N,5,+0272,5,+0250,5,+0250,5
2019-01-03 12:54:00,040,5,N,0046,5,22000,5,C,N,016093,5,N,5,+0272,5,+0250,5,+0250,5
2019-01-03 23:35:00,040,5,N,0077,5,01006,5,M,N,016093,5,N,5,+0300,5,+0250,5,+0250,5
2019-01-03 23:45:00,040,5,N,0098,5,00732,5,M,N,016093,5,N,5,+0306,5,+0250,5,+0250,5
2019-01-03 23:52:00,040,5,N,0118,5,01097,5,M,N,016093,5,N,5,+0310,5,+0240,5,+0240,5
2019-01-03 23:54:00,050,5,N,0108,5,22000,5,C,N,016093,5,N,5,+0306,5,+0244,5,+0244,5
2019-01-04 00:54:00,040,5,N,0098,5,00914,5,M,N,016093,5,N,5,+0306,5,+0239,5,+0239,5
2019-01-04 01:54:00,050,5,N,0093,5,22000,5,C,N,016093,5,N,5,+0300,5,+0239,5,+0239,5
2019-01-04 02:54:00,030,5,N,0108,5,00975,5,M,N,016093,5,N,5,+0306,5,+0239,5,+0239,5
2019-01-04 03:54:00,040,5,N,0118,5,22000,5,C,N,016093,5,N,5,+0306,5,+0239,5,+0239,5
2019-01-04 05:54:00,040,5,N,0098,5,01097,5,M,N,016093,5,N,5,+0294,5,+0239,5,+0239,5
