DATE,WND_direction,WND_dQC,WND_type,WND_speed,WND_speedQC,SKY_ceiling,SKY_ceilingQC,SKY_ceilingDC,SKY_CAVOK,VIS_distance,VIS_distanceQC,VIS_variability,VIS_variabilityQC,AIR_temp,AIR_tempQC,DEW_temp,DEW_tempQC,SLP_pressure,SLP_pressureQC
2022-01-01 00:54:00,070,5,N,0062,5,22000,5,C,N,016093,5,N,5,+0283,5,+0222,5,+0222,5
2022-01-01 01:54:00,070,5,N,0057,5,22000,5,C,N,016093,5,N,5,+0283,5,+0222,5,+0222,5
2022-01-01 02:54:00,080,5,N,0046,5,22000,5,C,N,016093,5,N,5,+0289,5,+0222,5,+0222,5
2022-01-01 03:54:00,070,5,N,0057,5,22000,5,C,N,016093,5,N,5,+0289,5,+0211,5,+0211,5
2022-01-02 00:54:00,070,5,N,0062,5,22000,5,C,N,016093,5,N,5,+0289,5,+0222,5,+0222,5
2022-01-02 01:54:00,060,5,N,0067,5,22000,5,C,N,016093,5,N,5,+0289,5,+0211,5,+0211,5
2022-01-02 02:54:00,080,5,N,0067,5,22000,5,C,N,016093,5,N,5,+0300,5,+0206,5,+0206,5
2022-01-02 06:54:00,060,5,N,0067,5,02286,5,M,N,016093,5,N,5,+0283,5,+0217,5,+0217,5
2022-01-02 08:54:00,050,5,N,0031,5,02438,5,M,N,016093,5,N,5,+0261,5,+0217,5,+0217,5
2022-01-02 13:54:00,050,5,N,0026,5,01372,5,M,N,004828,5,N,5,+0240,A,+0230,A,+0230,A
2022-01-02 14:54:00,050,5,N,0026,5,01341,5,M,N,016093,5,N,5,+0244,5,+0239,5,+0239,5
2022-01-02 15:54:00,030,5,N,0026,5,01981,5,M,N,016093,5,N,5,+0239,5,+0233,5,+0233,5
2022-01-02 16:54:00,040,5,N,0026,5,02286,5,M,N,016093,5,N,5,+0239,5,+0239,5,+0239,5
2022-01-02 17:54:00,030,5,N,0036,5,01829,5,M,N,016093,5,N,5,+0244,5,+0239,5,+0239,5
2022-01-02 18:54:00,020,5,N,0031,5,01829,5,M,N,016093,5,N,5,+0239,5,+0228,5,+0228,5
2022-01-02 19:54:00,040,5,N,0031,5,01036,5,M,N,016093,5,N,5,+0239,5,+0233,5,+0233,5
2022-01-02 20:54:00,040,5,N,0036,5,01189,5,M,N,016093,5,N,5,+0239,5,+0233,5,+0233,5
2022-01-02 21:54:00,030,5,N,0041,5,01463,5,M,N,016093,5,N,5,+0250,5,+0244,5,+0244,5
2022-01-02 22:54:00,040,5,N,0041,5,02134,5,M,N,016093,5,N,5,+0261,5,+0244,5,+0244,5
2022-01-02 23:54:00,030,5,N,0051,5,01067,5,M,N,016093,5,N,5,+0256,5,+0233,5,+0233,5
2022-01-03 00:16:00,040,5,N,0051,5,22000,5,C,N,016093,5,N,5,+0267,5,+0233,5,+0233,5
2022-01-03 00:54:00,060,5,N,0067,5,22000,5,C,N,016093,5,N,5,+0261,5,+0233,5,+0233,5
2022-01-03 01:52:00,050,5,N,0072,5,00518,5,M,N,008047,5,N,5,+0250,5,+0240,5,+0240,5
2022-01-03 01:54:00,050,5,N,0067,5,00518,5,M,N,008047,5,N,5,+0250,5,+0244,5,+0244,5
2022-01-03 02:54:00,050,5,N,0108,5,22000,5,C,N,016093,5,N,5,+0278,5,+0233,5,+0233,5
2022-01-03 04:54:00,050,5,N,0072,5,01219,5,M,N,016093,5,N,5,+0283,5,+0217,5,+0217,5
2022-01-03 05:54:00,060,5,N,0067,5,01158,5,M,N,016093,5,N,5,+0272,5,+0228,5,+0228,5
2022-01-03 06:37:00,060,5,N,0057,5,01036,5,M,N,008047,5,N,5,+0256,5,+0228,5,+0228,5
2022-01-03 06:43:00,060,5,N,0062,5,00792,5,M,N,004023,5,N,5,+0250,5,+0239,5,+0239,5
2022-01-03 06:45:00,060,5,N,0062,5,00884,5,M,N,008047,5,N,5,+0250,5,+0239,5,+0239,5
2022-01-03 06:50:00,070,5,N,0057,5,00884,5,M,N,008047,5,N,5,+0250,5,+0240,5,+0240,5
2022-01-03 06:54:00,070,5,N,0067,5,00884,5,M,N,008047,5,N,5,+0250,5,+0239,5,+0239,5
2022-01-03 07:48:00,050,5,N,0046,5,00488,5,M,N,002816,5,V,5,+0240,5,+0240,5,+0240,5
2022-01-03 07:54:00,040,5,N,0067,5,00488,5,M,N,002012,5,N,5,+0244,5,+0239,5,+0239,5
2022-01-03 08:07:00,040,5,N,0046,5,00945,5,M,N,006437,5,N,5,+0244,5,+0239,5,+0239,5
2022-01-03 08:51:00,050,5,N,0067,5,01829,5,M,N,016093,5,N,5,+0250,5,+0240,5,+0240,5
2022-01-03 08:54:00,050,5,N,0067,5,01981,5,M,N,016093,5,N,5,+0250,5,+0239,5,+0239,5
2022-01-03 09:54:00,030,5,N,0062,5,00945,5,M,N,009656,5,N,5,+0244,5,+0239,5,+0239,5
2022-01-03 10:31:00,040,5,N,0057,5,01341,5,M,N,016093,5,N,5,+0244,5,+0233,5,+0233,5
2022-01-03 10:34:00,040,5,N,0062,5,01402,5,M,N,016093,5,N,5,+0244,5,+0233,5,+0233,5
2022-01-03 10:54:00,040,5,N,0077,5,01036,5,M,N,011265,5,N,5,+0239,5,+0233,5,+0233,5
2022-01-03 11:52:00,040,5,N,0067,5,01097,5,M,N,014484,5,N,5,+0240,5,+0230,5,+0230,5
2022-01-03 11:54:00,040,5,N,0062,5,01097,5,M,N,014484,5,N,5,+0244,5,+0233,5,+0233,5
2022-01-03 12:52:00,050,5,N,0067,5,01006,5,M,N,011265,5,N,5,+0240,5,+0230,5,+0230,5
2022-01-03 12:54:00,050,5,N,0062,5,01067,5,M,N,011265,5,N,5,+0239,5,+0233,5,+0233,5
2022-01-03 13:42:00,050,5,N,0046,5,00914,5,M,N,016093,5,N,5,+0244,5,+0233,5,+0233,5
2022-01-03 13:54:00,030,5,N,0051,5,00914,5,M,N,016093,5,N,5,+0244,5,+0233,5,+0233,5
2022-01-03 14:31:00,040,5,N,0057,5,01067,5,M,N,006437,5,N,5,+0239,5,+0233,5,+0233,5
2022-01-03 14:54:00,040,5,N,0051,5,22000,5,C,N,016093,5,N,5,+0239,5,+0233,5,+0233,5
2022-01-03 15:54:00,040,5,N,0067,5,01067,5,M,N,016093,5,N,5,+0250,5,+0228,5,+0228,5
2022-01-03 16:54:00,040,5,N,0041,5,22000,5,C,N,016093,5,N,5,+0244,5,+0228,5,+0228,5
2022-01-03 19:54:00,030,5,N,0046,5,01494,5,M,N,016093,5,N,5,+0239,5,+0228,5,+0228,5
2022-01-03 20:54:00,050,5,N,0067,5,01158,5,M,N,016093,5,N,5,+0244,5,+0228,5,+0228,5
2022-01-03 21:54:00,030,5,N,0046,5,01433,5,M,N,016093,5,N,5,+0256,5,+0233,5,+0233,5
2022-01-03 22:54:00,030,5,N,0046,5,01128,5,M,N,016093,5,N,5,+0267,5,+0233,5,+0233,5
2022-01-03 23:50:00,050,5,N,0082,5,01189,5,M,N,016093,5,N,5,+0270,5,+0230,5,+0230,5
2022-01-03 23:54:00,050,5,N,0088,5,01250,5,M,N,016093,5,N,5,+0272,5,+0228,5,+0228,5
2022-01-04 00:54:00,040,5,N,0103,5,01311,5,M,N,016093,5,N,5,+0283,5,+0222,5,+0222,5
2022-01-04 01:54:00,050,5,N,0093,5,01219,5,M,N,016093,5,N,5,+0283,5,+0217,5,+0217,5
2022-01-04 02:54:00,040,5,N,0082,5,01189,5,M,N,016093,5,N,5,+0283,5,+0222,5,+0222,5
2022-01-04 03:54:00,040,5,N,0093,5,00671,5,M,N,009656,5,N,5,+0267,5,+0228,5,+0228,5
2022-01-04 04:12:00,010,5,N,0057,5,01067,5,M,N,016093,5,N,5,+0261,5,+0233,5,+0233,5
2022-01-04 04:54:00,030,5,N,0098,5,01128,5,M,N,016093,5,N,5,+0272,5,+0217,5,+0217,5
2022-01-04 05:54:00,360,5,N,0067,5,01036,5,M,N,016093,5,N,5,+0267,5,+0217,5,+0217,5
2022-01-04 06:25:00,030,5,N,0072,5,01341,5,M,N,016093,5,N,5,+0272,5,+0217,5,+0217,5
2022-01-04 06:36:00,010,5,N,0067,5,00853,5,M,N,016093,5,N,5,+0272,5,+0211,5,+0211,5
2022-01-04 07:54:00,020,5,N,0057,5,03353,5,M,N,016093,5,N,5,+0256,5,+0200,5,+0200,5
2022-01-04 08:54:00,030,5,N,0046,5,02743,5,M,N,016093,5,N,5,+0256,5,+0206,5,+0206,5
2022-01-04 09:54:00,010,5,N,0046,5,02743,5,M,N,016093,5,N,5,+0250,5,+0206,5,+0206,5
2022-01-04 10:54:00,030,5,N,0041,5,02743,5,M,N,016093,5,N,5,+0256,5,+0206,5,+0206,5
2022-01-04 11:54:00,040,5,N,0067,5,03048,5,M,N,016093,5,N,5,+0256,5,+0206,5,+0206,5
2022-01-04 21:54:00,040,5,N,0062,5,22000,5,C,N,016093,5,N,5,+0256,5,+0222,5,+0222,5
2022-01-04 22:54:00,060,5,N,0077,5,22000,5,C,N,016093,5,N,5,+0272,5,+0222,5,+0222,5
2022-01-05 00:54:00,050,5,N,0093,5,01280,5,M,N,016093,5,N,5,+0272,5,+0222,5,+0222,5
2022-01-05 01:54:00,050,5,N,0103,5,01494,5,M,N,016093,5,N,5,+0289,5,+0228,5,+0228,5
2022-01-05 02:36:00,040,5,N,0088,5,01067,5,M,N,014484,5,N,5,+0272,5,+0228,5,+0228,5
2022-01-05 02:47:00,040,5,N,0088,5,01494,5,M,N,016093,5,N,5,+0289,5,+0222,5,+0222,5
2022-01-05 02:54:00,050,5,N,0103,5,01676,5,M,N,016093,5,N,5,+0294,5,+0217,5,+0217,5
2022-01-05 03:54:00,060,5,N,0103,5,01189,5,M,N,016093,5,N,5,+0278,5,+0222,5,+0222,5
2022-01-05 04:54:00,050,5,N,0088,5,22000,5,C,N,016093,5,N,5,+0289,5,+0228,5,+0228,5
2022-01-05 05:54:00,050,5,N,0088,5,01494,5,M,N,012875,5,N,5,+0267,5,+0233,5,+0233,5
2022-01-05 06:54:00,050,5,N,0082,5,22000,5,C,N,016093,5,N,5,+0267,5,+0233,5,+0233,5
2022-01-05 09:52:00,050,5,N,0077,5,01097,5,M,N,009656,5,N,5,+0240,5,+0240,5,+0240,5
2022-01-05 09:54:00,050,5,N,0082,5,01158,5,M,N,012875,5,N,5,+0244,A,+0239,5,+0239,5
2022-01-05 10:54:00,050,5,N,0062,5,01341,5,M,N,016093,5,N,5,+0239,5,+0239,5,+0239,5
2022-01-05 11:47:00,060,5,N,0072,5,00945,5,M,N,016093,5,N,5,+0244,5,+0239,5,+0239,5
2022-01-05 11:54:00,060,5,N,0077,5,22000,5,C,N,016093,5,N,5,+0244,5,+0239,5,+0239,5
2022-01-05 12:54:00,060,5,N,0067,5,01676,5,M,N,016093,5,N,5,+0244,5,+0239,5,+0239,5
2022-01-05 13:54:00,060,5,N,0077,5,01829,5,M,N,016093,5,N,5,+0244,5,+0239,5,+0239,5
2022-01-05 14:44:00,060,5,N,0072,5,01250,5,M,N,014484,5,N,5,+0244,5,+0239,5,+0239,5
2022-01-05 14:54:00,050,5,N,0062,5,01402,5,M,N,016093,5,N,5,+0244,5,+0239,5,+0239,5
2022-01-05 15:54:00,050,5,N,0051,5,22000,5,C,N,016093,5,N,5,+0244,5,+0239,5,+0239,5
2022-01-05 16:54:00,060,5,N,0062,5,00518,5,M,N,016093,5,N,5,+0244,5,+0239,5,+0239,5
2022-01-05 17:28:00,050,5,N,0057,5,00640,5,M,N,014484,5,N,5,+0244,5,+0239,5,+0239,5
2022-01-05 17:40:00,060,5,N,0046,5,22000,5,C,N,016093,5,N,5,+0244,5,+0239,5,+0239,5
2022-01-05 17:54:00,060,5,N,0051,5,22000,5,C,N,009656,5,N,5,+0244,5,+0239,5,+0239,5
2022-01-05 18:29:00,060,5,N,0057,5,00701,5,M,N,011265,5,N,5,+0244,5,+0244,5,+0244,5
2022-01-05 18:42:00,060,5,N,0051,5,01219,5,M,N,016093,5,N,5,+0244,5,+0244,5,+0244,5
2022-01-05 18:50:00,060,5,N,0077,5,00762,5,M,N,006437,5,N,5,+0240,5,+0240,5,+0240,5
2022-01-05 18:54:00,060,5,N,0067,5,00884,5,M,N,006437,5,N,5,+0244,5,+0239,5,+0239,5
2022-01-05 19:52:00,060,5,N,0051,5,00762,5,M,N,012875,5,N,5,+0240,5,+0240,5,+0240,5
2022-01-05 19:54:00,060,5,N,0046,5,00762,5,M,N,012875,5,N,5,+0244,5,+0244,5,+0244,5
2022-01-05 20:37:00,080,5,N,0077,5,00701,5,M,N,006437,5,N,5,+0250,5,+0244,5,+0244,5
2022-01-05 20:52:00,070,5,N,0051,5,01219,5,M,N,016093,5,N,5,+0240,5,+0240,5,+0240,5
2022-01-05 20:54:00,070,5,N,0057,5,01219,5,M,N,016093,5,N,5,+0244,5,+0239,5,+0239,5
2022-01-06 00:54:00,070,5,N,0077,5,00762,5,M,N,016093,5,N,5,+0289,5,+0239,5,+0239,5
2022-01-06 01:50:00,070,5,N,0077,5,22000,5,C,N,016093,5,N,5,+0290,A,+0240,A,+0240,A
2022-01-06 01:50:00,070,5,N,0077,5,22000,5,C,N,016093,5,N,5,+0290,5,+0240,5,+0240,5
2022-01-06 02:54:00,060,5,N,0067,5,00640,5,M,N,016093,5,N,5,+0289,5,+0239,5,+0239,5
2022-01-06 03:50:00,070,5,N,0077,5,00792,5,M,N,016093,5,N,5,+0280,5,+0240,5,+0240,5
2022-01-06 03:54:00,060,5,N,0088,5,00792,5,M,N,016093,5,N,5,+0283,5,+0239,5,+0239,5
2022-01-06 04:54:00,060,5,N,0082,5,01158,5,M,N,016093,5,N,5,+0294,5,+0239,5,+0239,5
2022-01-06 05:54:00,060,5,N,0072,5,01097,5,M,N,016093,5,N,5,+0272,5,+0250,5,+0250,5
2022-01-06 07:54:00,050,5,N,0046,5,22000,5,C,N,016093,5,N,5,+0261,5,+0250,5,+0250,5
2022-01-06 08:54:00,080,5,N,0057,5,01676,5,M,N,016093,5,N,5,+0261,5,+0250,5,+0250,5
2022-01-06 09:52:00,080,5,N,0051,5,00823,5,M,N,016093,5,N,5,+0260,5,+0250,5,+0250,5
2022-01-06 09:54:00,080,5,N,0051,5,00762,5,M,N,016093,5,N,5,+0261,5,+0250,5,+0250,5
2022-01-06 10:54:00,080,5,N,0046,5,22000,5,C,N,016093,5,N,5,+0261,5,+0244,5,+0244,5
2022-01-06 11:43:00,080,5,N,0062,5,00396,5,M,N,006437,5,N,5,+0256,5,+0250,5,+0250,5
2022-01-06 11:52:00,090,5,N,0062,5,00732,5,M,N,008047,5,N,5,+0250,5,+0240,5,+0240,5
2022-01-06 11:54:00,090,5,N,0067,5,00732,5,M,N,009656,5,N,5,+0250,5,+0244,5,+0244,5
2022-01-06 12:52:00,070,5,N,0051,5,01036,5,M,N,006437,5,N,5,+0250,5,+0250,5,+0250,5
2022-01-06 12:54:00,070,5,N,0051,5,01189,5,M,N,006437,5,N,5,+0250,5,+0250,5,+0250,5
2022-01-06 13:47:00,070,5,N,0072,5,02286,5,M,N,016093,5,N,5,+0256,5,+0250,5,+0250,5
2022-01-06 13:54:00,080,5,N,0067,5,02438,5,M,N,016093,5,N,5,+0256,5,+0244,5,+0244,5
2022-01-06 14:46:00,100,5,N,0072,5,00457,5,M,N,009656,5,N,5,+0250,5,+0244,5,+0244,5
2022-01-06 14:54:00,080,5,N,0062,5,00762,5,M,N,016093,5,N,5,+0244,5,+0244,5,+0244,5
2022-01-06 15:36:00,090,5,N,0072,5,00701,5,M,N,004828,5,N,5,+0250,5,+0250,5,+0250,5
2022-01-06 15:54:00,080,5,N,0077,5,00945,5,M,N,012875,5,N,5,+0250,5,+0250,5,+0250,5
2022-01-06 16:11:00,080,5,N,0067,5,01067,5,M,N,016093,5,N,5,+0250,5,+0244,5,+0244,5
