DATE,WND_direction,WND_dQC,WND_type,WND_speed,WND_speedQC,SKY_ceiling,SKY_ceilingQC,SKY_ceilingDC,SKY_CAVOK,VIS_distance,VIS_distanceQC,VIS_variability,VIS_variabilityQC,AIR_temp,AIR_tempQC,DEW_temp,DEW_tempQC,SLP_pressure,SLP_pressureQC
2017-01-01 01:54:00,060,5,N,0082,5,00853,5,M,N,016093,5,N,5,+0311,5,+0228,5,+0228,5
2017-01-01 02:54:00,060,5,N,0082,5,00914,5,M,N,016093,5,N,5,+0306,5,+0228,5,+0228,5
2017-01-01 03:52:00,050,5,N,0082,5,01158,5,M,N,016093,5,N,5,+0310,5,+0220,5,+0220,5
2017-01-01 03:54:00,050,5,N,0082,5,00853,5,M,N,016093,5,N,5,+0306,5,+0222,5,+0222,5
2017-01-01 04:41:00,060,5,N,0062,5,00853,5,M,N,016093,5,N,5,+0310,5,+0230,5,+0230,5
2017-01-01 04:54:00,080,5,N,0067,5,00853,5,M,N,016093,5,N,5,+0306,5,+0228,5,+0228,5
2017-01-01 05:54:00,060,5,N,0067,5,00975,5,M,N,016093,5,N,5,+0294,5,+0228,5,+0228,5
2017-01-01 06:54:00,050,5,N,0062,5,01006,5,M,N,016093,5,N,5,+0289,5,+0233,5,+0233,5
2017-01-01 07:54:00,060,5,N,0046,5,22000,5,C,N,016093,5,N,5,+0278,5,+0228,5,+0228,5
2017-01-01 08:54:00,060,5,N,0046,5,03048,5,M,N,016093,5,N,5,+0272,5,+0228,5,+0228,5
2017-01-01 09:54:00,050,5,N,0036,5,02438,5,M,N,016093,5,N,5,+0267,5,+0244,5,+0244,5
2017-01-01 10:54:00,060,5,N,0046,5,01829,5,M,N,016093,5,N,5,+0272,5,+0244,5,+0244,5
2017-01-01 11:54:00,060,5,N,0051,5,03048,5,M,N,016093,5,N,5,+0272,5,+0244,5,+0244,5
2017-01-01 12:54:00,060,5,N,0057,5,01036,5,M,N,009656,5,N,5,+0261,5,+0250,5,+0250,5
2017-01-01 13:12:00,050,5,N,0077,5,01128,5,M,N,008047,5,N,5,+0260,5,+0250,5,+0250,5
2017-01-01 13:54:00,060,5,N,0057,5,02286,5,M,N,016093,5,N,5,+0256,5,+0244,5,+0244,5
2017-01-01 14:54:00,060,5,N,0046,5,02591,5,M,N,016093,5,N,5,+0261,5,+0250,5,+0250,5
2017-01-01 15:54:00,070,5,N,0062,5,22000,5,C,N,016093,5,N,5,+0261,5,+0244,5,+0244,5
2017-01-01 16:54:00,070,5,N,0067,5,02743,5,M,N,016093,5,N,5,+0256,5,+0239,5,+0239,5
