DATE,DEW_temp,DEW_tempQC
2023-01-09 15:54:00,256,5
2023-01-09 16:54:00,250,5
2023-01-09 21:54:00,256,5
2023-01-09 22:37:00,256,5
2023-01-09 22:54:00,261,5
2023-01-09 23:54:00,256,5
2023-01-10 00:54:00,256,5
2023-01-10 04:16:00,256,5
2023-01-10 04:54:00,250,5
2023-01-10 07:54:00,250,5
2023-01-10 18:54:00,250,5
2023-01-10 23:30:00,250,5
2023-01-10 23:50:00,260,5
2023-01-10 23:54:00,256,5
2023-01-11 00:12:00,256,5
2023-01-11 00:26:00,256,5
2023-01-11 00:52:00,250,5
2023-01-11 00:54:00,250,5
2023-01-11 01:13:00,250,5
2023-01-11 01:49:00,250,5
2023-01-11 01:52:00,240,5
2023-01-11 01:54:00,244,5
2023-01-11 01:56:00,244,5
2023-01-11 02:31:00,233,5
2023-01-11 02:43:00,239,5
2023-01-11 02:52:00,240,5
2023-01-11 02:54:00,239,5
2023-01-11 03:06:00,233,5
2023-01-11 04:54:00,239,5
2023-01-11 06:54:00,244,5
2023-01-11 07:54:00,250,5
2023-01-11 08:14:00,244,5
2023-01-11 08:29:00,244,5
2023-01-11 08:54:00,244,5
2023-01-11 11:54:00,244,5
2023-01-11 12:54:00,250,5
2023-01-11 14:54:00,244,5
2023-01-11 15:54:00,250,5
2023-01-11 16:50:00,240,5
2023-01-11 18:52:00,240,A
2023-01-11 18:52:00,240,5
2023-01-11 19:54:00,250,5
2023-01-11 20:54:00,250,5
2023-01-11 22:54:00,267,5
2023-01-12 00:54:00,256,5
2023-01-12 01:40:00,261,5
2023-01-12 01:52:00,270,5
2023-01-12 01:54:00,272,5
2023-01-12 02:52:00,260,5
2023-01-12 02:54:00,256,5
2023-01-12 04:26:00,256,5
2023-01-12 04:52:00,250,5
2023-01-12 04:54:00,250,5
2023-01-12 07:54:00,256,5
2023-01-12 08:54:00,256,5
2023-01-12 12:27:00,250,5
2023-01-12 12:38:00,244,5
2023-01-12 12:54:00,250,5
2023-01-12 13:14:00,250,5
2023-01-12 13:54:00,244,5
2023-01-12 13:56:00,244,5
2023-01-12 14:19:00,250,5
2023-01-12 14:54:00,244,5
2023-01-12 16:54:00,244,5
2023-01-12 17:54:00,244,5
2023-01-12 18:54:00,239,5
2023-01-12 19:54:00,239,5
2023-01-12 20:19:00,239,5
2023-01-12 20:54:00,239,5
2023-01-12 21:52:00,240,5
2023-01-12 21:54:00,244,5
2023-01-12 22:44:00,250,5
2023-01-12 22:54:00,250,5
2023-01-13 00:54:00,250,5
2023-01-13 01:54:00,256,5
2023-01-13 02:43:00,250,5
2023-01-13 02:54:00,250,5
2023-01-13 04:52:00,250,5
2023-01-13 04:54:00,250,5
2023-01-13 05:54:00,250,5
2023-01-13 06:52:00,250,5
2023-01-13 06:54:00,250,5
2023-01-13 07:52:00,240,5
2023-01-13 07:54:00,244,5
2023-01-13 08:54:00,244,5
2023-01-13 09:54:00,244,5
2023-01-13 10:54:00,244,5
2023-01-13 11:52:00,240,5
2023-01-13 11:54:00,244,5
2023-01-13 12:52:00,250,5
2023-01-13 12:54:00,250,5
2023-01-13 13:54:00,250,5
2023-01-13 14:54:00,244,5
2023-01-13 15:25:00,250,5
2023-01-13 15:52:00,250,5
2023-01-13 15:54:00,244,5
2023-01-13 16:41:00,250,5
2023-01-13 16:54:00,250,5
2023-01-13 17:54:00,250,5
2023-01-13 18:13:00,250,5
2023-01-13 18:21:00,250,5
2023-01-13 18:33:00,250,5
2023-01-13 18:54:00,250,5
2023-01-13 19:43:00,250,5
2023-01-13 19:52:00,250,5
2023-01-13 19:53:00,250,5
2023-01-13 19:58:00,250,5
2023-01-13 20:42:00,250,5
2023-01-13 20:54:00,250,5
2023-01-13 21:26:00,250,5
2023-01-13 21:36:00,244,5
2023-01-13 21:43:00,244,5
2023-01-13 21:47:00,250,5
2023-01-13 21:50:00,250,5
2023-01-13 21:54:00,250,5
2023-01-13 22:34:00,250,5
2023-01-13 22:41:00,250,5
2023-01-13 22:50:00,260,5
2023-01-13 22:54:00,256,5
2023-01-13 23:32:00,256,5
2023-01-13 23:45:00,256,5
2023-01-13 23:50:00,260,5
2023-01-13 23:54:00,256,5
2023-01-14 00:11:00,250,5
2023-01-14 00:18:00,250,5
2023-01-14 00:40:00,256,5
2023-01-14 00:47:00,256,5
2023-01-14 00:52:00,260,5
2023-01-14 00:54:00,261,5
2023-01-14 01:52:00,260,5
2023-01-14 01:54:00,267,5
2023-01-14 02:52:00,260,5
2023-01-14 02:54:00,261,5
2023-01-14 03:14:00,256,5
2023-01-14 03:25:00,244,5
2023-01-14 03:30:00,250,5
2023-01-14 03:54:00,256,5
2023-01-14 04:06:00,256,5
2023-01-14 04:18:00,256,5
2023-01-14 04:20:00,256,5
2023-01-14 04:32:00,250,5
2023-01-14 04:37:00,250,5
2023-01-14 04:54:00,250,5
2023-01-14 05:34:00,256,5
2023-01-14 05:54:00,250,5
2023-01-14 06:27:00,250,5
2023-01-14 06:54:00,250,5
2023-01-14 07:07:00,256,5
2023-01-14 07:52:00,260,5
2023-01-14 07:54:00,256,5
2023-01-14 08:34:00,250,5
2023-01-14 08:44:00,244,5
2023-01-14 08:48:00,240,5
2023-01-14 08:54:00,244,5
2023-01-14 09:54:00,244,5
2023-01-14 10:54:00,244,5
2023-01-14 11:54:00,250,5
2023-01-14 12:54:00,250,5
2023-01-14 13:54:00,239,5
2023-01-14 14:54:00,244,5
2023-01-14 19:54:00,244,5
2023-01-14 22:54:00,256,5
2023-01-14 23:54:00,256,5
2023-01-15 01:54:00,256,5
2023-01-15 02:52:00,260,5
2023-01-15 02:54:00,256,5
2023-01-15 03:36:00,256,5
2023-01-15 03:54:00,250,5
2023-01-15 04:52:00,260,5
2023-01-15 04:54:00,250,5
2023-01-15 05:52:00,250,5
2023-01-15 05:54:00,250,5
2023-01-15 15:54:00,250,5
2023-01-15 20:54:00,250,5
2023-01-15 21:54:00,256,5
2023-01-16 00:52:00,250,5
2023-01-16 00:54:00,250,5
2023-01-16 01:09:00,256,5
2023-01-16 01:52:00,260,5
2023-01-16 01:54:00,256,5
2023-01-16 02:54:00,250,5
2023-01-16 03:54:00,256,5
2023-01-16 08:43:00,256,5
2023-01-16 08:52:00,250,5
2023-01-16 08:54:00,250,5
2023-01-16 09:50:00,260,5
2023-01-16 09:54:00,256,5
2023-01-16 10:11:00,250,5
2023-01-16 10:21:00,250,5
2023-01-16 10:54:00,250,5
2023-01-16 15:54:00,244,5
2023-01-16 16:54:00,239,5
2023-01-16 17:54:00,244,5
2023-01-16 20:16:00,250,5
2023-01-16 20:52:00,250,5
2023-01-16 20:54:00,250,5
2023-01-16 21:54:00,250,5
2023-01-16 22:54:00,261,5
