,DATE,CALL_SIGN,WND_direction,WND_dQC,WND_type,WND_speed,WND_speedQC,SKY_ceiling,SKY_ceilingQC,SKY_ceilingDC,SKY_CAVOK,VIS_distance,VIS_distanceQC,VIS_variability,VIS_variabilityQC,AIR_temp,AIR_tempQC,DEW_temp,DEW_tempQC,SLP_pressure,SLP_pressureQC
4,2023-01-01T00:51:00,PGUM ,060,5,N,0057,5,00427,5,M,N,004023,5,V,5,+0280,5,+0270,5,+0270,5
5,2023-01-01T00:54:00,PGUM ,060,5,N,0072,5,00427,5,M,N,004828,5,N,5,+0272,5,+0261,5,+0261,5
9,2023-01-01T01:08:00,PGUM ,070,5,N,0067,5,00975,5,M,N,004828,5,N,5,+0272,5,+0261,5,+0261,5
10,2023-01-01T01:54:00,PGUM ,060,5,N,0082,5,01036,5,M,N,006437,5,N,5,+0272,5,+0256,5,+0256,5
11,2023-01-01T02:54:00,PGUM ,060,5,N,0077,5,01524,5,M,N,016093,5,N,5,+0289,5,+0256,5,+0256,5
12,2023-01-01T03:54:00,PGUM ,070,5,N,0093,5,01829,5,M,N,016093,5,N,5,+0294,5,+0250,5,+0250,5
13,2023-01-01T04:54:00,PGUM ,060,5,N,0108,5,22000,5,C,N,016093,5,N,5,+0294,5,+0244,5,+0244,5
14,2023-01-01T05:54:00,PGUM ,070,5,N,0077,5,01341,5,M,N,016093,5,N,5,+0289,5,+0244,5,+0244,5
16,2023-01-01T06:54:00,PGUM ,060,5,N,0067,5,22000,5,9,N,016093,5,N,5,+0289,5,+0239,5,+0239,5
17,2023-01-01T07:54:00,PGUM ,060,5,N,0067,5,22000,5,9,N,016093,5,N,5,+0278,5,+0239,5,+0239,5
18,2023-01-01T08:54:00,PGUM ,070,5,N,0057,5,22000,5,9,N,016093,5,N,5,+0272,5,+0233,5,+0233,5
19,2023-01-01T09:54:00,PGUM ,060,5,N,0057,5,22000,5,9,N,016093,5,N,5,+0272,5,+0233,5,+0233,5
20,2023-01-01T10:54:00,PGUM ,060,5,N,0067,5,22000,5,9,N,016093,5,N,5,+0272,5,+0233,5,+0233,5
21,2023-01-01T11:54:00,PGUM ,060,5,N,0067,5,22000,5,9,N,016093,5,N,5,+0267,5,+0233,5,+0233,5
23,2023-01-01T12:54:00,PGUM ,050,5,N,0051,5,22000,5,9,N,016093,5,N,5,+0267,5,+0239,5,+0239,5
24,2023-01-01T13:54:00,PGUM ,050,5,N,0062,5,01189,5,M,N,009656,5,N,5,+0267,5,+0244,5,+0244,5
25,2023-01-01T13:59:00,PGUM ,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,+9999,9,+9999,9,+9999,9
26,2023-01-01T14:54:00,PGUM ,080,5,N,0062,5,01250,5,M,N,004828,5,N,5,+0267,5,+0250,5,+0250,5
27,2023-01-01T15:54:00,PGUM ,050,5,N,0062,5,01981,5,M,N,016093,5,N,5,+0256,5,+0250,5,+0250,5
28,2023-01-01T16:54:00,PGUM ,050,5,N,0051,5,01981,5,M,N,016093,5,N,5,+0261,5,+0256,5,+0256,5
29,2023-01-01T17:54:00,PGUM ,060,5,N,0041,5,01067,5,M,N,008047,5,N,5,+0261,5,+0256,5,+0256,5
32,2023-01-01T18:51:00,PGUM ,070,5,N,0046,5,00762,5,M,N,004828,5,N,5,+0260,5,+0260,5,+0260,5
33,2023-01-01T18:54:00,PGUM ,080,5,N,0041,5,00762,5,M,N,004828,5,N,5,+0261,5,+0256,5,+0256,5
36,2023-01-01T19:54:00,PGUM ,060,5,N,0046,5,01829,5,M,N,016093,5,N,5,+0256,5,+0250,5,+0250,5
39,2023-01-01T20:54:00,PGUM ,060,5,N,0036,5,00488,5,M,N,011265,5,N,5,+0261,5,+0256,5,+0256,5
43,2023-01-01T21:48:00,PGUM ,070,5,N,0051,5,00914,5,M,N,002816,5,N,5,+0260,5,+0260,5,+0260,5
44,2023-01-01T21:52:00,PGUM ,060,5,N,0077,5,00975,5,M,N,003219,5,N,5,+0260,5,+0260,5,+0260,5
45,2023-01-01T21:54:00,PGUM ,060,5,N,0072,5,00975,5,M,N,004023,5,N,5,+0261,5,+0250,5,+0250,5
48,2023-01-01T22:54:00,PGUM ,070,5,N,0077,5,01981,5,M,N,016093,5,N,5,+0272,5,+0256,5,+0256,5
49,2023-01-01T23:54:00,PGUM ,070,5,N,0072,5,01341,5,M,N,009656,5,N,5,+0278,5,+0261,5,+0261,5
