,DATE,CALL_SIGN,WND_direction,WND_dQC,WND_type,WND_speed,WND_speedQC,SKY_ceiling,SKY_ceilingQC,SKY_ceilingDC,SKY_CAVOK,VIS_distance,VIS_distanceQC,VIS_variability,VIS_variabilityQC,AIR_temp,AIR_tempQC,DEW_temp,DEW_tempQC,SLP_pressure,SLP_pressureQC
4,2018-01-01T00:36:00,PGUM ,090,5,N,0051,5,00853,5,M,N,016093,5,N,5,+0283,5,+0250,5,+0250,5
6,2018-01-01T00:45:00,PGUM ,080,5,N,0077,5,01006,5,M,N,016093,5,N,5,+0283,5,+0250,5,+0250,5
7,2018-01-01T00:54:00,PGUM ,090,5,N,0077,5,01006,5,M,N,016093,5,N,5,+0289,5,+0244,5,+0244,5
10,2018-01-01T01:52:00,PGUM ,090,5,N,0062,5,02134,5,M,N,016093,5,N,5,+0290,5,+0250,5,+0250,5
11,2018-01-01T01:54:00,PGUM ,090,5,N,0067,5,02134,5,M,N,016093,5,N,5,+0294,5,+0250,5,+0250,5
12,2018-01-01T02:54:00,PGUM ,100,5,N,0057,5,02286,5,M,N,016093,5,N,5,+0294,5,+0244,5,+0244,5
13,2018-01-01T03:54:00,PGUM ,080,5,N,0051,5,22000,5,9,N,016093,5,N,5,+0306,5,+0250,5,+0250,5
14,2018-01-01T04:54:00,PGUM ,100,5,N,0062,5,01494,5,M,N,016093,5,N,5,+0294,5,+0244,5,+0244,5
18,2018-01-01T05:40:00,PGUM ,080,5,N,0072,5,01158,5,M,N,016093,5,N,5,+0294,5,+0244,5,+0244,5
19,2018-01-01T05:54:00,PGUM ,080,5,N,0072,5,01219,5,M,N,016093,5,N,5,+0294,5,+0244,5,+0244,5
21,2018-01-01T06:54:00,PGUM ,080,5,N,0057,5,01402,5,M,N,016093,5,N,5,+0289,5,+0244,5,+0244,5
22,2018-01-01T07:54:00,PGUM ,070,5,N,0057,5,01189,5,M,N,016093,5,N,5,+0283,5,+0239,5,+0239,5
23,2018-01-01T08:54:00,PGUM ,080,5,N,0041,5,01524,5,M,N,014484,5,N,5,+0267,5,+0250,5,+0250,5
24,2018-01-01T09:54:00,PGUM ,050,5,N,0051,5,01829,5,M,N,016093,5,N,5,+0261,5,+0239,5,+0239,5
25,2018-01-01T10:54:00,PGUM ,070,5,N,0057,5,01494,5,M,N,016093,5,N,5,+0267,5,+0250,5,+0250,5
26,2018-01-01T11:54:00,PGUM ,080,5,N,0051,5,22000,5,9,N,016093,5,N,5,+0272,5,+0233,5,+0233,5
28,2018-01-01T12:54:00,PGUM ,080,5,N,0051,5,01524,5,M,N,016093,5,N,5,+0272,5,+0233,5,+0233,5
29,2018-01-01T13:54:00,PGUM ,070,5,N,0046,5,01494,5,M,N,016093,5,N,5,+0272,5,+0239,5,+0239,5
30,2018-01-01T13:59:00,PGUM ,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,+9999,9,+9999,9,+9999,9
31,2018-01-01T14:54:00,PGUM ,080,5,N,0041,5,22000,5,C,N,016093,5,N,5,+0267,5,+0239,5,+0239,5
32,2018-01-01T15:54:00,PGUM ,080,5,N,0036,5,22000,5,9,N,016093,5,N,5,+0261,5,+0228,5,+0228,5
33,2018-01-01T16:54:00,PGUM ,080,5,N,0026,5,22000,5,9,N,016093,5,N,5,+0261,5,+0233,5,+0233,5
34,2018-01-01T17:54:00,PGUM ,080,5,N,0031,5,22000,5,9,N,016093,5,N,5,+0261,5,+0233,5,+0233,5
36,2018-01-01T18:54:00,PGUM ,080,5,N,0015,5,22000,5,9,N,016093,5,N,5,+0261,5,+0233,5,+0233,5
37,2018-01-01T19:54:00,PGUM ,060,5,N,0026,5,22000,5,9,N,016093,5,N,5,+0250,5,+0233,5,+0233,5
38,2018-01-01T20:54:00,PGUM ,080,5,N,0031,5,22000,5,9,N,016093,5,N,5,+0261,5,+0239,5,+0239,5
39,2018-01-01T21:54:00,PGUM ,999,9,C,0000,5,22000,5,9,N,016093,5,N,5,+0267,5,+0244,5,+0244,5
40,2018-01-01T22:54:00,PGUM ,100,5,N,0031,5,22000,5,9,N,016093,5,N,5,+0283,5,+0244,5,+0244,5
41,2018-01-01T23:54:00,PGUM ,090,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0289,5,+0233,5,+0233,5
43,2018-01-02T00:54:00,PGUM ,080,5,N,0046,5,01433,5,M,N,016093,5,N,5,+0300,5,+0233,5,+0233,5
44,2018-01-02T01:54:00,PGUM ,110,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0300,5,+0239,5,+0239,5
45,2018-01-02T02:54:00,PGUM ,090,5,N,0051,5,22000,5,9,N,016093,5,N,5,+0300,5,+0228,5,+0228,5
46,2018-01-02T03:54:00,PGUM ,100,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0300,5,+0228,5,+0228,5
47,2018-01-02T04:54:00,PGUM ,120,5,N,0041,5,22000,5,9,N,016093,5,N,5,+0300,5,+0233,5,+0233,5
48,2018-01-02T05:54:00,PGUM ,060,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0306,5,+0217,5,+0217,5
50,2018-01-02T06:54:00,PGUM ,060,5,N,0051,5,22000,5,9,N,016093,5,N,5,+0294,5,+0228,5,+0228,5
51,2018-01-02T07:54:00,PGUM ,060,5,N,0041,5,22000,5,9,N,016093,5,N,5,+0283,5,+0228,5,+0228,5
52,2018-01-02T08:54:00,PGUM ,050,5,N,0026,5,22000,5,9,N,016093,5,N,5,+0267,5,+0233,5,+0233,5
53,2018-01-02T09:54:00,PGUM ,070,5,N,0031,5,22000,5,9,N,016093,5,N,5,+0272,5,+0233,5,+0233,5
54,2018-01-02T10:54:00,PGUM ,060,5,N,0031,5,22000,5,9,N,016093,5,N,5,+0267,5,+0233,5,+0233,5
55,2018-01-02T11:54:00,PGUM ,050,5,N,0031,5,22000,5,9,N,016093,5,N,5,+0256,5,+0233,5,+0233,5
60,2018-01-02T12:38:00,PGUM ,050,5,N,0036,5,01402,5,M,N,016093,5,N,5,+0256,5,+0239,5,+0239,5
61,2018-01-02T12:54:00,PGUM ,040,5,N,0026,5,22000,5,9,N,016093,5,N,5,+0256,5,+0239,5,+0239,5
62,2018-01-02T13:54:00,PGUM ,050,5,N,0021,5,22000,5,9,N,016093,5,N,5,+0244,5,+0233,5,+0233,5
63,2018-01-02T13:59:00,PGUM ,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,+9999,9,+9999,9,+9999,9
64,2018-01-02T14:54:00,PGUM ,080,5,N,0036,5,22000,5,9,N,016093,5,N,5,+0267,5,+0233,5,+0233,5
65,2018-01-02T15:54:00,PGUM ,070,5,N,0036,5,22000,5,9,N,016093,5,N,5,+0261,5,+0228,5,+0228,5
66,2018-01-02T16:54:00,PGUM ,070,5,N,0036,5,22000,5,9,N,016093,5,N,5,+0261,5,+0228,5,+0228,5
67,2018-01-02T17:54:00,PGUM ,060,5,N,0031,5,22000,5,9,N,016093,5,N,5,+0250,5,+0228,5,+0228,5
69,2018-01-02T18:54:00,PGUM ,050,5,N,0031,5,22000,5,9,N,016093,5,N,5,+0244,5,+0228,5,+0228,5
