,DATE,CALL_SIGN,WND_direction,WND_dQC,WND_type,WND_speed,WND_speedQC,SKY_ceiling,SKY_ceilingQC,SKY_ceilingDC,SKY_CAVOK,VIS_distance,VIS_distanceQC,VIS_variability,VIS_variabilityQC,AIR_temp,AIR_tempQC,DEW_temp,DEW_tempQC,SLP_pressure,SLP_pressureQC
1,2017-01-01T00:54:00,PGUM ,070,5,N,0067,5,22000,5,9,N,016093,5,N,5,+0300,5,+0233,5,+0233,5
4,2017-01-01T01:54:00,PGUM ,060,5,N,0082,5,00853,5,M,N,016093,5,N,5,+0311,5,+0228,5,+0228,5
7,2017-01-01T02:54:00,PGUM ,060,5,N,0082,5,00914,5,M,N,016093,5,N,5,+0306,5,+0228,5,+0228,5
10,2017-01-01T03:52:00,PGUM ,050,5,N,0082,5,01158,5,M,N,016093,5,N,5,+0310,5,+0220,5,+0220,5
11,2017-01-01T03:54:00,PGUM ,050,5,N,0082,5,00853,5,M,N,016093,5,N,5,+0306,5,+0222,5,+0222,5
15,2017-01-01T04:41:00,PGUM ,060,5,N,0062,5,00853,5,M,N,016093,5,N,5,+0310,5,+0230,5,+0230,5
16,2017-01-01T04:54:00,PGUM ,080,5,N,0067,5,00853,5,M,N,016093,5,N,5,+0306,5,+0228,5,+0228,5
19,2017-01-01T05:54:00,PGUM ,060,5,N,0067,5,00975,5,M,N,016093,5,N,5,+0294,5,+0228,5,+0228,5
21,2017-01-01T06:54:00,PGUM ,050,5,N,0062,5,01006,5,M,N,016093,5,N,5,+0289,5,+0233,5,+0233,5
22,2017-01-01T07:54:00,PGUM ,060,5,N,0046,5,22000,5,C,N,016093,5,N,5,+0278,5,+0228,5,+0228,5
23,2017-01-01T08:54:00,PGUM ,060,5,N,0046,5,03048,5,M,N,016093,5,N,5,+0272,5,+0228,5,+0228,5
24,2017-01-01T09:54:00,PGUM ,050,5,N,0036,5,02438,5,M,N,016093,5,N,5,+0267,5,+0244,5,+0244,5
25,2017-01-01T10:54:00,PGUM ,060,5,N,0046,5,01829,5,M,N,016093,5,N,5,+0272,5,+0244,5,+0244,5
26,2017-01-01T11:54:00,PGUM ,060,5,N,0051,5,03048,5,M,N,016093,5,N,5,+0272,5,+0244,5,+0244,5
28,2017-01-01T12:54:00,PGUM ,060,5,N,0057,5,01036,5,M,N,009656,5,N,5,+0261,5,+0250,5,+0250,5
32,2017-01-01T13:12:00,PGUM ,050,5,N,0077,5,01128,5,M,N,008047,5,N,5,+0260,5,+0250,5,+0250,5
33,2017-01-01T13:54:00,PGUM ,060,5,N,0057,5,02286,5,M,N,016093,5,N,5,+0256,5,+0244,5,+0244,5
34,2017-01-01T13:59:00,PGUM ,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,+9999,9,+9999,9,+9999,9
35,2017-01-01T14:54:00,PGUM ,060,5,N,0046,5,02591,5,M,N,016093,5,N,5,+0261,5,+0250,5,+0250,5
36,2017-01-01T15:54:00,PGUM ,070,5,N,0062,5,22000,5,C,N,016093,5,N,5,+0261,5,+0244,5,+0244,5
37,2017-01-01T16:54:00,PGUM ,070,5,N,0067,5,02743,5,M,N,016093,5,N,5,+0256,5,+0239,5,+0239,5
38,2017-01-01T17:54:00,PGUM ,060,5,N,0041,5,02896,5,M,N,016093,5,N,5,+0256,5,+0250,5,+0250,5
40,2017-01-01T18:54:00,PGUM ,050,5,N,0041,5,02896,5,M,N,016093,5,N,5,+0256,5,+0244,5,+0244,5
41,2017-01-01T19:54:00,PGUM ,050,5,N,0041,5,22000,5,9,N,016093,5,N,5,+0256,5,+0244,5,+0244,5
42,2017-01-01T20:54:00,PGUM ,050,5,N,0031,5,22000,5,9,N,016093,5,N,5,+0250,5,+0239,5,+0239,5
43,2017-01-01T21:54:00,PGUM ,050,5,N,0031,5,22000,5,9,N,016093,5,N,5,+0267,5,+0239,5,+0239,5
44,2017-01-01T22:54:00,PGUM ,060,5,N,0067,5,22000,5,9,N,016093,5,N,5,+0283,5,+0244,5,+0244,5
45,2017-01-01T23:54:00,PGUM ,070,5,N,0072,5,22000,5,9,N,016093,5,N,5,+0283,5,+0228,5,+0228,5
47,2017-01-02T00:54:00,PGUM ,070,5,N,0098,5,22000,5,9,N,016093,5,N,5,+0294,5,+0222,5,+0222,5
48,2017-01-02T01:54:00,PGUM ,070,5,N,0088,5,22000,5,9,N,016093,5,N,5,+0300,5,+0217,5,+0217,5
49,2017-01-02T02:54:00,PGUM ,070,5,N,0082,5,22000,5,9,N,016093,5,N,5,+0306,5,+0217,5,+0217,5
50,2017-01-02T03:54:00,PGUM ,090,5,N,0077,5,22000,5,9,N,016093,5,N,5,+0300,5,+0222,5,+0222,5
51,2017-01-02T04:54:00,PGUM ,090,5,N,0082,5,22000,5,9,N,016093,5,N,5,+0294,5,+0228,5,+0228,5
52,2017-01-02T05:54:00,PGUM ,080,5,N,0072,5,22000,5,9,N,016093,5,N,5,+0289,5,+0228,5,+0228,5
54,2017-01-02T06:54:00,PGUM ,080,5,N,0057,5,22000,5,9,N,016093,5,N,5,+0283,5,+0233,5,+0233,5
55,2017-01-02T07:54:00,PGUM ,080,5,N,0057,5,22000,5,9,N,016093,5,N,5,+0278,5,+0233,5,+0233,5
56,2017-01-02T08:54:00,PGUM ,080,5,N,0051,5,22000,5,9,N,016093,5,N,5,+0272,5,+0228,5,+0228,5
57,2017-01-02T09:54:00,PGUM ,070,5,N,0051,5,22000,5,9,N,016093,5,N,5,+0272,5,+0222,5,+0222,5
58,2017-01-02T10:54:00,PGUM ,080,5,N,0057,5,22000,5,9,N,016093,5,N,5,+0272,5,+0228,5,+0228,5
59,2017-01-02T11:54:00,PGUM ,080,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0272,5,+0217,5,+0217,5
61,2017-01-02T12:54:00,PGUM ,070,5,N,0051,5,22000,5,9,N,016093,5,N,5,+0272,5,+0222,5,+0222,5
62,2017-01-02T13:54:00,PGUM ,080,5,N,0041,5,22000,5,9,N,016093,5,N,5,+0267,5,+0228,5,+0228,5
63,2017-01-02T13:59:00,PGUM ,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,+9999,9,+9999,9,+9999,9
64,2017-01-02T14:54:00,PGUM ,060,5,N,0041,5,22000,5,9,N,016093,5,N,5,+0267,5,+0222,5,+0222,5
65,2017-01-02T15:54:00,PGUM ,060,5,N,0051,5,22000,5,9,N,016093,5,N,5,+0267,5,+0222,5,+0222,5
66,2017-01-02T16:54:00,PGUM ,060,5,N,0051,5,22000,5,C,N,016093,5,N,5,+0267,5,+0222,5,+0222,5
67,2017-01-02T17:54:00,PGUM ,060,5,N,0041,5,22000,5,9,N,016093,5,N,5,+0256,5,+0222,5,+0222,5
69,2017-01-02T18:54:00,PGUM ,060,5,N,0041,5,22000,5,9,N,016093,5,N,5,+0256,5,+0222,5,+0222,5
70,2017-01-02T19:54:00,PGUM ,080,5,N,0067,5,22000,5,9,N,016093,5,N,5,+0267,5,+0211,5,+0211,5
71,2017-01-02T20:54:00,PGUM ,080,5,N,0057,5,22000,5,9,N,016093,5,N,5,+0267,5,+0211,5,+0211,5
72,2017-01-02T21:54:00,PGUM ,080,5,N,0051,5,22000,5,9,N,016093,5,N,5,+0272,5,+0222,5,+0222,5
73,2017-01-02T22:54:00,PGUM ,070,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0278,5,+0228,5,+0228,5
74,2017-01-02T23:54:00,PGUM ,070,5,N,0062,5,22000,5,9,N,016093,5,N,5,+0289,5,+0233,5,+0233,5
76,2017-01-03T00:54:00,PGUM ,070,5,N,0067,5,22000,5,9,N,016093,5,N,5,+0289,5,+0239,5,+0239,5
80,2017-01-03T01:51:00,PGUM ,080,5,N,0057,5,22000,5,C,N,016093,5,N,5,+0290,5,+0230,5,+0230,5
81,2017-01-03T01:54:00,PGUM ,080,5,N,0067,5,22000,5,C,N,016093,5,N,5,+0294,5,+0233,5,+0233,5
82,2017-01-03T02:54:00,PGUM ,060,5,N,0067,5,00914,5,M,N,016093,5,N,5,+0300,5,+0239,5,+0239,5
85,2017-01-03T03:54:00,PGUM ,050,5,N,0088,5,00853,5,M,N,016093,5,N,5,+0294,5,+0239,5,+0239,5
88,2017-01-03T04:54:00,PGUM ,070,5,N,0067,5,22000,5,9,N,016093,5,N,5,+0300,5,+0239,5,+0239,5
89,2017-01-03T05:54:00,PGUM ,060,5,N,0062,5,22000,5,9,N,016093,5,N,5,+0289,5,+0239,5,+0239,5
91,2017-01-03T06:54:00,PGUM ,060,5,N,0051,5,22000,5,9,N,016093,5,N,5,+0283,5,+0244,5,+0244,5
92,2017-01-03T07:54:00,PGUM ,060,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0278,5,+0239,5,+0239,5
93,2017-01-03T08:54:00,PGUM ,060,5,N,0036,5,22000,5,9,N,016093,5,N,5,+0272,5,+0244,5,+0244,5
94,2017-01-03T09:54:00,PGUM ,050,5,N,0031,5,22000,5,9,N,016093,5,N,5,+0267,5,+0244,5,+0244,5
95,2017-01-03T10:54:00,PGUM ,050,5,N,0026,5,22000,5,9,N,016093,5,N,5,+0261,5,+0244,5,+0244,5
96,2017-01-03T11:54:00,PGUM ,050,5,N,0031,5,22000,5,9,N,016093,5,N,5,+0261,5,+0250,5,+0250,5
98,2017-01-03T12:54:00,PGUM ,050,5,N,0026,5,01524,5,M,N,016093,5,N,5,+0261,5,+0250,5,+0250,5
99,2017-01-03T13:54:00,PGUM ,040,5,N,0021,5,01829,5,M,N,016093,5,N,5,+0261,5,+0250,5,+0250,5
100,2017-01-03T13:59:00,PGUM ,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,+9999,9,+9999,9,+9999,9
101,2017-01-03T14:54:00,PGUM ,020,5,N,0036,5,22000,5,9,N,016093,5,N,5,+0256,5,+0244,5,+0244,5
102,2017-01-03T15:54:00,PGUM ,030,5,N,0026,5,22000,5,C,N,016093,5,N,5,+0256,5,+0244,5,+0244,5
103,2017-01-03T16:54:00,PGUM ,020,5,N,0031,5,22000,5,9,N,016093,5,N,5,+0256,5,+0244,5,+0244,5
107,2017-01-03T17:32:00,PGUM ,040,5,N,0036,5,00884,5,M,N,004828,5,N,5,+0260,5,+0250,5,+0250,5
109,2017-01-03T17:41:00,PGUM ,040,5,N,0036,5,01524,5,M,N,011265,5,N,5,+0250,5,+0250,5,+0250,5
110,2017-01-03T17:54:00,PGUM ,050,5,N,0041,5,02743,5,M,N,016093,5,N,5,+0256,5,+0250,5,+0250,5
112,2017-01-03T18:54:00,PGUM ,030,5,N,0046,5,01829,5,M,N,008047,5,N,5,+0250,5,+0244,5,+0244,5
113,2017-01-03T19:54:00,PGUM ,030,5,N,0036,5,22000,5,9,N,016093,5,N,5,+0256,5,+0244,5,+0244,5
114,2017-01-03T20:54:00,PGUM ,060,5,N,0046,5,02134,5,M,N,016093,5,N,5,+0250,5,+0239,5,+0239,5
115,2017-01-03T21:54:00,PGUM ,040,5,N,0041,5,01981,5,M,N,016093,5,N,5,+0267,5,+0250,5,+0250,5
116,2017-01-03T22:54:00,PGUM ,060,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0278,5,+0244,5,+0244,5
117,2017-01-03T23:54:00,PGUM ,060,5,N,0057,5,22000,5,9,N,016093,5,N,5,+0289,5,+0239,5,+0239,5
119,2017-01-04T00:54:00,PGUM ,050,5,N,0067,5,01219,5,M,N,016093,5,N,5,+0300,5,+0239,5,+0239,5
120,2017-01-04T01:54:00,PGUM ,040,5,N,0093,5,00975,5,M,N,016093,5,N,5,+0311,5,+0239,5,+0239,5
123,2017-01-04T02:54:00,PGUM ,040,5,N,0072,5,00762,5,M,N,016093,5,N,5,+0306,5,+0239,5,+0239,5
126,2017-01-04T03:54:00,PGUM ,060,5,N,0082,5,22000,5,9,N,016093,5,N,5,+0306,5,+0228,5,+0228,5
127,2017-01-04T04:52:00,PGUM ,040,5,N,0067,5,00732,5,M,N,016093,5,N,5,+0290,5,+0230,5,+0230,5
128,2017-01-04T04:54:00,PGUM ,050,5,N,0077,5,22000,5,9,N,016093,5,N,5,+0294,5,+0233,5,+0233,5
129,2017-01-04T05:54:00,PGUM ,050,5,N,0072,5,22000,5,C,N,016093,5,N,5,+0300,5,+0233,5,+0233,5
134,2017-01-04T06:51:00,PGUM ,060,5,N,0072,5,00914,5,M,N,016093,5,N,5,+0280,5,+0230,5,+0230,5
135,2017-01-04T06:54:00,PGUM ,060,5,N,0067,5,00701,5,M,N,016093,5,N,5,+0289,5,+0233,5,+0233,5
139,2017-01-04T07:29:00,PGUM ,030,5,N,0057,5,00823,5,M,N,016093,5,N,5,+0280,5,+0240,5,+0240,5
140,2017-01-04T07:54:00,PGUM ,050,5,N,0062,5,00823,5,M,N,016093,5,N,5,+0278,5,+0239,5,+0239,5
143,2017-01-04T08:54:00,PGUM ,050,5,N,0046,5,01128,5,M,N,016093,5,N,5,+0272,5,+0239,5,+0239,5
144,2017-01-04T09:54:00,PGUM ,050,5,N,0036,5,22000,5,9,N,016093,5,N,5,+0267,5,+0233,5,+0233,5
145,2017-01-04T10:54:00,PGUM ,040,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0261,5,+0239,5,+0239,5
146,2017-01-04T11:54:00,PGUM ,040,5,N,0041,5,22000,5,9,N,016093,5,N,5,+0261,5,+0233,5,+0233,5
147,2017-01-04T12:54:00,PGUM ,050,5,N,0041,5,22000,5,9,N,016093,5,N,5,+0261,5,+0233,5,+0233,5
148,2017-01-04T13:54:00,PGUM ,050,5,N,0041,5,22000,5,9,N,016093,5,N,5,+0261,5,+0233,5,+0233,5
149,2017-01-04T13:59:00,PGUM ,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,+9999,9,+9999,9,+9999,9
150,2017-01-04T14:54:00,PGUM ,060,5,N,0051,5,22000,5,9,N,016093,5,N,5,+0267,5,+0233,5,+0233,5
151,2017-01-04T15:54:00,PGUM ,060,5,N,0041,5,01829,5,M,N,016093,5,N,5,+0267,5,+0239,5,+0239,5
152,2017-01-04T16:54:00,PGUM ,050,5,N,0041,5,01676,5,M,N,016093,5,N,5,+0261,5,+0239,5,+0239,5
153,2017-01-04T17:54:00,PGUM ,050,5,N,0041,5,22000,5,9,N,016093,5,N,5,+0256,5,+0239,5,+0239,5
155,2017-01-04T18:54:00,PGUM ,050,5,N,0041,5,22000,5,C,N,016093,5,N,5,+0256,5,+0239,5,+0239,5
156,2017-01-04T19:54:00,PGUM ,040,5,N,0031,5,22000,5,9,N,016093,5,N,5,+0250,5,+0239,5,+0239,5
157,2017-01-04T20:54:00,PGUM ,999,9,C,0000,5,01981,5,M,N,016093,5,N,5,+0250,5,+0233,5,+0233,5
158,2017-01-04T21:54:00,PGUM ,010,5,N,0015,5,01829,5,M,N,016093,5,N,5,+0267,5,+0244,5,+0244,5
159,2017-01-04T22:54:00,PGUM ,050,5,N,0057,5,01981,5,M,N,016093,5,N,5,+0272,5,+0244,5,+0244,5
160,2017-01-04T23:54:00,PGUM ,050,5,N,0057,5,00823,5,M,N,016093,5,N,5,+0294,5,+0244,5,+0244,5
163,2017-01-05T00:28:00,PGUM ,050,5,N,0062,5,00853,5,M,N,004023,5,V,5,+0270,5,+0260,5,+0260,5
164,2017-01-05T00:37:00,PGUM ,050,5,N,0057,5,01189,5,M,N,009656,5,N,5,+0280,A,+0260,A,+0260,A
167,2017-01-05T01:54:00,PGUM ,080,5,N,0062,5,01372,5,M,N,016093,5,N,5,+0294,5,+0239,5,+0239,5
168,2017-01-05T02:54:00,PGUM ,090,5,N,0051,5,01128,5,M,N,016093,5,N,5,+0289,5,+0244,5,+0244,5
169,2017-01-05T03:54:00,PGUM ,070,5,N,0057,5,22000,5,9,N,016093,5,N,5,+0300,5,+0244,5,+0244,5
170,2017-01-05T04:54:00,PGUM ,080,5,N,0051,5,01067,5,M,N,016093,5,N,5,+0289,5,+0239,5,+0239,5
171,2017-01-05T05:54:00,PGUM ,080,5,N,0046,5,22000,5,C,N,016093,5,N,5,+0294,5,+0239,5,+0239,5
176,2017-01-05T06:19:00,PGUM ,030,5,N,0077,5,00366,5,M,N,006437,5,N,5,+0270,5,+0260,5,+0260,5
178,2017-01-05T06:22:00,PGUM ,040,5,N,0057,5,00427,5,M,N,002816,5,V,5,+0270,5,+0260,5,+0260,5
180,2017-01-05T06:26:00,PGUM ,050,5,N,0046,5,00488,5,M,N,004023,5,N,5,+0270,5,+0260,5,+0260,5
182,2017-01-05T06:30:00,PGUM ,050,5,N,0051,5,00610,5,M,N,008047,5,N,5,+0270,5,+0260,5,+0260,5
184,2017-01-05T06:40:00,PGUM ,050,5,N,0046,5,01036,5,M,N,011265,5,N,5,+0270,5,+0260,5,+0260,5
185,2017-01-05T06:54:00,PGUM ,040,5,N,0062,5,01097,5,M,N,011265,5,N,5,+0272,5,+0256,5,+0256,5
189,2017-01-05T07:25:00,PGUM ,010,5,N,0036,5,00732,5,M,N,008047,5,N,5,+0260,5,+0250,5,+0250,5
191,2017-01-05T07:38:00,PGUM ,030,5,N,0026,5,01067,5,M,N,016093,5,N,5,+0260,5,+0250,5,+0250,5
192,2017-01-05T07:54:00,PGUM ,030,5,N,0031,5,01189,5,M,N,012875,5,N,5,+0261,5,+0250,5,+0250,5
195,2017-01-05T08:52:00,PGUM ,060,5,N,0046,5,00914,5,M,N,016093,5,N,5,+0250,5,+0250,5,+0250,5
196,2017-01-05T08:54:00,PGUM ,060,5,N,0046,5,00914,5,M,N,016093,5,N,5,+0250,5,+0244,5,+0244,5
199,2017-01-05T09:57:00,PGUM ,030,5,N,0051,5,00610,5,M,N,003219,5,N,5,+0250,5,+0240,A,+0240,A
203,2017-01-05T10:15:00,PGUM ,060,5,N,0062,5,00975,5,M,N,009656,5,N,5,+0250,5,+0240,5,+0240,5
204,2017-01-05T10:54:00,PGUM ,060,5,N,0062,5,01433,5,M,N,008047,5,N,5,+0250,5,+0244,5,+0244,5
205,2017-01-05T11:54:00,PGUM ,060,5,N,0031,5,01433,5,M,N,016093,5,N,5,+0250,5,+0244,5,+0244,5
207,2017-01-05T12:54:00,PGUM ,060,5,N,0041,5,01372,5,M,N,016093,5,N,5,+0250,5,+0244,5,+0244,5
208,2017-01-05T13:52:00,PGUM ,060,5,N,0041,5,00853,5,M,N,006437,5,N,5,+0260,5,+0250,5,+0250,5
209,2017-01-05T13:54:00,PGUM ,070,5,N,0046,5,00732,5,M,N,006437,5,N,5,+0256,5,+0244,5,+0244,5
210,2017-01-05T13:59:00,PGUM ,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,+9999,9,+9999,9,+9999,9
211,2017-01-05T14:11:00,PGUM ,050,5,N,0036,5,01219,5,M,N,016093,5,N,5,+0250,5,+0240,5,+0240,5
212,2017-01-05T14:54:00,PGUM ,050,5,N,0046,5,01280,5,M,N,006437,5,N,5,+0256,5,+0244,5,+0244,5
213,2017-01-05T14:58:00,PGUM ,030,5,N,0062,5,00975,5,M,N,002816,5,N,5,+0260,5,+0240,5,+0240,5
214,2017-01-05T15:09:00,PGUM ,060,5,N,0072,5,00823,5,M,N,002816,5,N,5,+0250,5,+0240,5,+0240,5
215,2017-01-05T15:16:00,PGUM ,050,5,N,0046,5,00762,5,M,N,004023,5,V,5,+0250,5,+0240,5,+0240,5
217,2017-01-05T15:32:00,PGUM ,060,5,N,0036,5,00762,5,M,N,002012,5,N,5,+0250,5,+0240,5,+0240,5
219,2017-01-05T15:40:00,PGUM ,060,5,N,0036,5,00945,5,M,N,003219,5,N,5,+0250,5,+0240,5,+0240,5
220,2017-01-05T15:51:00,PGUM ,070,5,N,0031,5,00914,5,M,N,004023,5,N,5,+0250,A,+0250,A,+0250,A
225,2017-01-05T16:54:00,PGUM ,020,5,N,0031,5,00914,5,M,N,011265,5,N,5,+0250,5,+0244,5,+0244,5
229,2017-01-05T17:39:00,PGUM ,080,5,N,0015,5,00762,5,M,N,008047,5,N,5,+0250,5,+0240,5,+0240,5
230,2017-01-05T17:54:00,PGUM ,040,5,N,0036,5,01067,5,M,N,014484,5,N,5,+0250,5,+0244,5,+0244,5
232,2017-01-05T18:54:00,PGUM ,030,5,N,0046,5,01676,5,M,N,004828,5,N,5,+0250,5,+0244,5,+0244,5
233,2017-01-05T19:54:00,PGUM ,040,5,N,0051,5,01036,5,M,N,014484,5,N,5,+0250,5,+0244,5,+0244,5
237,2017-01-05T20:19:00,PGUM ,030,5,N,0041,5,01250,5,M,N,008047,5,N,5,+0240,5,+0240,5,+0240,5
238,2017-01-05T20:54:00,PGUM ,030,5,N,0026,5,01067,5,M,N,016093,5,N,5,+0250,5,+0244,5,+0244,5
239,2017-01-05T21:54:00,PGUM ,050,5,N,0051,5,01067,5,M,N,009656,5,N,5,+0250,5,+0244,5,+0244,5
240,2017-01-05T22:54:00,PGUM ,050,5,N,0046,5,01829,5,M,N,016093,5,N,5,+0261,5,+0244,5,+0244,5
241,2017-01-05T23:54:00,PGUM ,050,5,N,0051,5,01676,5,M,N,016093,5,N,5,+0267,5,+0244,5,+0244,5
246,2017-01-06T00:51:00,PGUM ,040,5,N,0067,5,01006,5,M,N,016093,5,N,5,+0290,5,+0240,5,+0240,5
247,2017-01-06T00:54:00,PGUM ,050,5,N,0067,5,01006,5,M,N,016093,5,N,5,+0289,5,+0239,5,+0239,5
251,2017-01-06T01:33:00,PGUM ,020,5,N,0051,5,00945,5,M,N,016093,5,N,5,+0290,5,+0260,5,+0260,5
253,2017-01-06T01:47:00,PGUM ,030,5,N,0062,5,00488,5,M,N,014484,5,N,5,+0270,5,+0240,5,+0240,5
254,2017-01-06T01:54:00,PGUM ,040,5,N,0051,5,01981,5,M,N,016093,5,N,5,+0272,5,+0244,5,+0244,5
255,2017-01-06T02:54:00,PGUM ,020,5,N,0046,5,01981,5,M,N,016093,5,N,5,+0273,5,+0238,5,+0238,5
256,2017-01-06T04:54:00,PGUM ,040,5,N,0051,5,01981,5,M,N,016093,5,N,5,+0265,5,+0245,5,+0245,5
257,2017-01-06T05:54:00,PGUM ,050,5,N,0067,5,00914,5,M,N,011265,5,N,5,+0268,5,+0237,5,+0237,5
259,2017-01-06T06:54:00,PGUM ,040,5,N,0046,5,01219,5,M,N,016093,5,N,5,+0264,5,+0229,5,+0229,5
262,2017-01-06T07:54:00,PGUM ,050,5,N,0031,5,00762,5,M,N,011265,5,N,5,+0256,5,+0243,5,+0243,5
265,2017-01-06T08:54:00,PGUM ,040,5,N,0046,5,01219,5,M,N,016093,5,N,5,+0256,5,+0237,5,+0237,5
266,2017-01-06T09:54:00,PGUM ,050,5,N,0046,5,01829,5,M,N,016093,5,N,5,+0258,5,+0236,5,+0236,5
267,2017-01-06T10:54:00,PGUM ,020,5,N,0046,5,00762,5,M,N,011265,5,N,5,+0255,5,+0237,5,+0237,5
270,2017-01-06T11:54:00,PGUM ,040,5,N,0067,5,01219,5,M,N,011265,5,N,5,+0254,5,+0242,5,+0242,5
272,2017-01-06T12:54:00,PGUM ,040,5,N,0057,5,02438,5,M,N,016093,5,N,5,+0252,5,+0236,5,+0236,5
273,2017-01-06T13:54:00,PGUM ,050,5,N,0067,5,01829,5,M,N,016093,5,N,5,+0254,5,+0231,5,+0231,5
274,2017-01-06T13:59:00,PGUM ,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,+9999,9,+9999,9,+9999,9
275,2017-01-06T14:54:00,PGUM ,050,5,N,0057,5,01829,5,M,N,016093,5,N,5,+0255,5,+0231,5,+0231,5
276,2017-01-06T15:54:00,PGUM ,040,5,N,0051,5,22000,5,9,N,016093,5,N,5,+0254,5,+0230,5,+0230,5
277,2017-01-06T16:54:00,PGUM ,040,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0253,5,+0227,5,+0227,5
278,2017-01-06T17:54:00,PGUM ,030,5,N,0051,5,22000,5,9,N,016093,5,N,5,+0249,5,+0225,5,+0225,5
