,DATE,CALL_SIGN,WND_direction,WND_dQC,WND_type,WND_speed,WND_speedQC,SKY_ceiling,SKY_ceilingQC,SKY_ceilingDC,SKY_CAVOK,VIS_distance,VIS_distanceQC,VIS_variability,VIS_variabilityQC,AIR_temp,AIR_tempQC,DEW_temp,DEW_tempQC,SLP_pressure,SLP_pressureQC
1,2016-01-01T00:54:00,PGUM ,080,5,N,0082,5,00914,5,M,N,016093,5,N,5,+0289,5,+0228,5,+0228,5
2,2016-01-01T01:54:00,PGUM ,060,5,N,0088,5,02134,5,M,N,016093,5,N,5,+0289,5,+0228,5,+0228,5
3,2016-01-01T02:54:00,PGUM ,070,5,N,0067,5,22000,5,9,N,016093,5,N,5,+0306,5,+0228,5,+0228,5
6,2016-01-01T03:54:00,PGUM ,060,5,N,0072,5,22000,5,9,N,016093,5,N,5,+0300,5,+0222,5,+0222,5
9,2016-01-01T04:54:00,PGUM ,050,5,N,0077,5,22000,5,9,N,016093,5,N,5,+0300,5,+0222,5,+0222,5
10,2016-01-01T05:54:00,PGUM ,050,5,N,0077,5,00914,5,M,N,016093,5,N,5,+0289,5,+0222,5,+0222,5
12,2016-01-01T06:54:00,PGUM ,050,5,N,0067,5,22000,5,C,N,016093,5,N,5,+0278,5,+0222,5,+0222,5
13,2016-01-01T07:54:00,PGUM ,050,5,N,0046,5,01829,5,M,N,016093,5,N,5,+0272,5,+0228,5,+0228,5
14,2016-01-01T08:54:00,PGUM ,040,5,N,0051,5,02286,5,M,N,016093,5,N,5,+0267,5,+0228,5,+0228,5
15,2016-01-01T09:54:00,PGUM ,050,5,N,0067,5,22000,5,C,N,016093,5,N,5,+0256,5,+0233,5,+0233,5
16,2016-01-01T10:54:00,PGUM ,030,5,N,0046,5,22000,5,C,N,016093,5,N,5,+0250,5,+0228,5,+0228,5
17,2016-01-01T11:54:00,PGUM ,030,5,N,0036,5,22000,5,C,N,016093,5,N,5,+0250,5,+0233,5,+0233,5
19,2016-01-01T12:54:00,PGUM ,070,5,N,0051,5,02743,5,M,N,016093,5,N,5,+0250,5,+0233,5,+0233,5
20,2016-01-01T13:54:00,PGUM ,040,5,N,0057,5,01676,5,M,N,016093,5,N,5,+0239,5,+0228,5,+0228,5
21,2016-01-01T13:59:00,PGUM ,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,+9999,9,+9999,9,+9999,9
24,2016-01-01T14:52:00,PGUM ,080,5,N,0046,5,01189,5,M,N,004828,5,N,5,+0230,5,+0220,5,+0220,5
25,2016-01-01T14:54:00,PGUM ,080,5,N,0041,5,01250,5,M,N,003219,5,N,5,+0233,5,+0222,5,+0222,5
26,2016-01-01T15:52:00,PGUM ,070,5,N,0082,5,01189,5,M,N,003219,5,N,5,+0240,5,+0230,5,+0230,5
27,2016-01-01T15:54:00,PGUM ,070,5,N,0077,5,01189,5,M,N,003219,5,N,5,+0239,5,+0228,5,+0228,5
30,2016-01-01T16:54:00,PGUM ,050,5,N,0036,5,01676,5,M,N,009656,5,N,5,+0239,5,+0228,5,+0228,5
31,2016-01-01T17:54:00,PGUM ,070,5,N,0051,5,01829,5,M,N,016093,5,N,5,+0244,5,+0211,5,+0211,5
33,2016-01-01T18:54:00,PGUM ,080,5,N,0057,5,22000,5,9,N,016093,5,N,5,+0250,5,+0222,5,+0222,5
34,2016-01-01T19:54:00,PGUM ,070,5,N,0046,5,01311,5,M,N,016093,5,N,5,+0250,5,+0217,5,+0217,5
35,2016-01-01T20:54:00,PGUM ,070,5,N,0051,5,22000,5,9,N,016090,P,N,5,+0250,5,+0222,5,+0222,5
36,2016-01-01T21:54:00,PGUM ,070,5,N,0077,5,22000,5,9,N,016093,5,N,5,+0261,5,+0217,5,+0217,5
37,2016-01-01T22:54:00,PGUM ,060,5,N,0088,5,22000,5,9,N,016093,5,N,5,+0272,5,+0222,5,+0222,5
38,2016-01-01T23:54:00,PGUM ,060,5,N,0077,5,22000,5,9,N,016093,5,N,5,+0283,5,+0217,5,+0217,5
40,2016-01-02T00:54:00,PGUM ,060,5,N,0098,5,22000,5,9,N,016093,5,N,5,+0289,5,+0211,5,+0211,5
41,2016-01-02T01:54:00,PGUM ,080,5,N,0093,5,22000,5,9,N,016090,P,N,5,+0300,5,+0200,5,+0200,5
42,2016-01-02T02:54:00,PGUM ,070,5,N,0088,5,22000,5,9,N,016093,5,N,5,+0300,5,+0206,5,+0206,5
43,2016-01-02T03:54:00,PGUM ,050,5,N,0082,5,22000,5,9,N,016093,5,N,5,+0300,5,+0217,5,+0217,5
44,2016-01-02T04:54:00,PGUM ,060,5,N,0072,5,22000,5,9,N,016093,5,N,5,+0300,5,+0206,5,+0206,5
45,2016-01-02T05:54:00,PGUM ,040,5,N,0077,5,22000,5,9,N,016093,5,N,5,+0289,5,+0211,5,+0211,5
47,2016-01-02T06:54:00,PGUM ,070,5,N,0082,5,22000,5,9,N,016093,5,N,5,+0283,5,+0217,5,+0217,5
48,2016-01-02T07:54:00,PGUM ,060,5,N,0051,5,22000,5,9,N,016093,5,N,5,+0272,5,+0217,5,+0217,5
49,2016-01-02T08:54:00,PGUM ,050,5,N,0036,5,22000,5,9,N,016093,5,N,5,+0261,5,+0217,5,+0217,5
50,2016-01-02T09:54:00,PGUM ,060,5,N,0051,5,22000,5,9,N,016093,5,N,5,+0261,5,+0217,5,+0217,5
51,2016-01-02T10:54:00,PGUM ,060,5,N,0057,5,22000,5,9,N,016093,5,N,5,+0267,5,+0211,5,+0211,5
52,2016-01-02T11:54:00,PGUM ,070,5,N,0051,5,22000,5,9,N,016093,5,N,5,+0261,5,+0211,5,+0211,5
54,2016-01-02T12:54:00,PGUM ,050,5,N,0031,5,22000,5,C,N,016093,5,N,5,+0256,5,+0217,5,+0217,5
55,2016-01-02T13:54:00,PGUM ,060,5,N,0041,5,02743,5,M,N,011265,5,N,5,+0250,5,+0233,5,+0233,5
56,2016-01-02T13:59:00,PGUM ,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,+9999,9,+9999,9,+9999,9
60,2016-01-02T14:32:00,PGUM ,060,5,N,0077,5,01097,5,M,N,009656,5,N,5,+0240,5,+0230,5,+0230,5
61,2016-01-02T14:54:00,PGUM ,070,5,N,0057,5,03048,5,M,N,012875,5,N,5,+0239,5,+0222,5,+0222,5
62,2016-01-02T15:54:00,PGUM ,060,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0250,5,+0233,5,+0233,5
63,2016-01-02T16:54:00,PGUM ,070,5,N,0041,5,22000,5,C,N,016093,5,N,5,+0250,5,+0233,5,+0233,5
64,2016-01-02T17:54:00,PGUM ,060,5,N,0077,5,01036,5,M,N,008047,5,N,5,+0256,5,+0228,5,+0228,5
66,2016-01-02T18:54:00,PGUM ,080,5,N,0051,5,02591,5,M,N,016093,5,N,5,+0250,5,+0228,5,+0228,5
67,2016-01-02T19:54:00,PGUM ,070,5,N,0051,5,22000,5,C,N,016093,5,N,5,+0250,5,+0233,5,+0233,5
68,2016-01-02T20:54:00,PGUM ,070,5,N,0057,5,22000,5,C,N,016093,5,N,5,+0256,5,+0233,5,+0233,5
69,2016-01-02T21:54:00,PGUM ,070,5,N,0067,5,22000,5,9,N,016093,5,N,5,+0261,5,+0233,5,+0233,5
70,2016-01-02T22:54:00,PGUM ,080,5,N,0057,5,01524,5,M,N,016093,5,N,5,+0267,5,+0233,5,+0233,5
71,2016-01-02T23:54:00,PGUM ,090,5,N,0077,5,02134,5,M,N,016093,5,N,5,+0272,5,+0233,5,+0233,5
73,2016-01-03T00:54:00,PGUM ,070,5,N,0098,5,22000,5,9,N,016093,5,N,5,+0278,5,+0233,5,+0233,5
74,2016-01-03T01:54:00,PGUM ,080,5,N,0098,5,22000,5,C,N,016093,5,N,5,+0283,5,+0228,5,+0228,5
75,2016-01-03T02:54:00,PGUM ,070,5,N,0093,5,22000,5,C,N,016093,5,N,5,+0294,5,+0222,5,+0222,5
76,2016-01-03T03:54:00,PGUM ,070,5,N,0108,5,22000,5,9,N,016093,5,N,5,+0289,5,+0222,5,+0222,5
77,2016-01-03T04:54:00,PGUM ,080,5,N,0088,5,22000,5,C,N,016093,5,N,5,+0289,5,+0228,5,+0228,5
81,2016-01-03T05:18:00,PGUM ,070,5,N,0072,5,01128,5,M,N,016093,5,N,5,+0270,5,+0230,5,+0230,5
82,2016-01-03T05:54:00,PGUM ,080,5,N,0077,5,01524,5,M,N,016093,5,N,5,+0272,5,+0228,5,+0228,5
87,2016-01-03T06:51:00,PGUM ,080,5,N,0082,5,22000,5,C,N,016093,5,N,5,+0270,5,+0230,5,+0230,5
88,2016-01-03T06:54:00,PGUM ,080,5,N,0072,5,22000,5,C,N,016093,5,N,5,+0267,5,+0228,5,+0228,5
89,2016-01-03T07:54:00,PGUM ,070,5,N,0072,5,22000,5,C,N,016093,5,N,5,+0267,5,+0228,5,+0228,5
90,2016-01-03T08:54:00,PGUM ,070,5,N,0077,5,01219,5,M,N,016093,5,N,5,+0261,5,+0217,5,+0217,5
91,2016-01-03T09:54:00,PGUM ,080,5,N,0062,5,01524,5,M,N,016093,5,N,5,+0267,5,+0211,5,+0211,5
92,2016-01-03T10:54:00,PGUM ,070,5,N,0072,5,22000,5,C,N,016093,5,N,5,+0267,5,+0217,5,+0217,5
93,2016-01-03T11:54:00,PGUM ,070,5,N,0067,5,01981,5,M,N,016093,5,N,5,+0267,5,+0217,5,+0217,5
95,2016-01-03T12:54:00,PGUM ,060,5,N,0062,5,22000,5,9,N,016093,5,N,5,+0256,5,+0222,5,+0222,5
96,2016-01-03T13:54:00,PGUM ,070,5,N,0077,5,22000,5,9,N,016093,5,N,5,+0261,5,+0222,5,+0222,5
97,2016-01-03T13:59:00,PGUM ,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,+9999,9,+9999,9,+9999,9
98,2016-01-03T14:54:00,PGUM ,060,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0256,5,+0217,5,+0217,5
99,2016-01-03T15:54:00,PGUM ,070,5,N,0062,5,22000,5,9,N,016093,5,N,5,+0261,5,+0206,5,+0206,5
100,2016-01-03T16:54:00,PGUM ,070,5,N,0062,5,22000,5,9,N,016093,5,N,5,+0256,5,+0206,5,+0206,5
101,2016-01-03T17:54:00,PGUM ,070,5,N,0051,5,22000,5,9,N,016093,5,N,5,+0256,5,+0206,5,+0206,5
103,2016-01-03T18:54:00,PGUM ,060,5,N,0041,5,22000,5,9,N,016093,5,N,5,+0256,5,+0217,5,+0217,5
104,2016-01-03T19:54:00,PGUM ,060,5,N,0046,5,02438,5,M,N,016093,5,N,5,+0239,5,+0211,5,+0211,5
105,2016-01-03T20:54:00,PGUM ,070,5,N,0062,5,22000,5,9,N,016093,5,N,5,+0250,5,+0222,5,+0222,5
106,2016-01-03T21:54:00,PGUM ,060,5,N,0062,5,22000,5,9,N,016093,5,N,5,+0256,5,+0217,5,+0217,5
107,2016-01-03T22:54:00,PGUM ,060,5,N,0057,5,22000,5,9,N,016093,5,N,5,+0272,5,+0211,5,+0211,5
108,2016-01-03T23:54:00,PGUM ,070,5,N,0072,5,22000,5,9,N,016093,5,N,5,+0283,5,+0211,5,+0211,5
110,2016-01-04T00:54:00,PGUM ,060,5,N,0072,5,22000,5,9,N,016093,5,N,5,+0283,5,+0211,5,+0211,5
111,2016-01-04T01:54:00,PGUM ,060,5,N,0077,5,22000,5,9,N,016093,5,N,5,+0294,5,+0211,5,+0211,5
115,2016-01-04T02:38:00,PGUM ,080,5,N,0077,5,01097,5,M,N,016093,5,N,5,+0300,5,+0210,5,+0210,5
116,2016-01-04T02:54:00,PGUM ,080,5,N,0082,5,01311,5,M,N,016093,5,N,5,+0294,5,+0211,5,+0211,5
119,2016-01-04T03:54:00,PGUM ,050,5,N,0077,5,00792,5,M,N,016093,5,N,5,+0300,5,+0222,5,+0222,5
122,2016-01-04T04:54:00,PGUM ,070,5,N,0072,5,22000,5,C,N,016093,5,N,5,+0300,5,+0217,5,+0217,5
126,2016-01-04T05:32:00,PGUM ,060,5,N,0077,5,22000,5,9,N,016093,5,N,5,+0300,5,+0210,5,+0210,5
127,2016-01-04T05:54:00,PGUM ,070,5,N,0067,5,22000,5,9,N,016093,5,N,5,+0289,5,+0211,5,+0211,5
129,2016-01-04T06:54:00,PGUM ,060,5,N,0067,5,22000,5,9,N,016093,5,N,5,+0289,5,+0222,5,+0222,5
